0	Ayuntamiento	0.011646459331466146	0.004973282056450603	0.010804819453939584	0.0034082918097150363	0.13768054199268612	0.002476567901534927	0.00512199440996749	0.40732858147349976	0.41248198482022164	0.004077476750518756
1	R.	0.0355607723926225	0.015185194591796144	0.032990947240662864	0.01040672412476952	0.00971658434918503	0.007561840466262248	0.01563926616882019	0.011705801240962998	0.027440970037287966	0.8337918993876305
2	N	0.0355607723926225	0.015185194591796144	0.85433286345876	0.01040672412476952	0.00971658434918503	0.007561840466262248	0.01563926616882019	0.011705801240962998	0.027440970037287966	0.012449983169533291
3	Toseta	0.019524490199216538	0.9102459083961854	0.018113538675465456	0.005713767432739062	0.005334849136597543	0.004151796210765268	0.008586672293412185	0.0064270201749210085	0.015066347396356764	0.006835610084340949
4	DOS	0.004455451973011221	0.0019025713068767224	0.8273888133016168	0.0013038709908310975	0.0012174025477154086	9.474320932352388E-4	0.0019594624812697683	0.0014666339262514412	0.15779848800343388	0.0015598733757583277
5	Dirijase	0.0355607723926225	0.015185194591796144	0.032990947240662864	0.01040672412476952	0.00971658434918503	0.41823279857531087	0.42631022427786885	0.011705801240962998	0.027440970037287966	0.012449983169533291
6	AGUILAR.	0.0355607723926225	0.4258561527008447	0.032990947240662864	0.01040672412476952	0.00971658434918503	0.007561840466262248	0.01563926616882019	0.011705801240962998	0.43811192814633654	0.012449983169533291
7	Luna	0.4462317305016711	0.015185194591796144	0.44366190534971145	0.01040672412476952	0.00971658434918503	0.007561840466262248	0.01563926616882019	0.011705801240962998	0.027440970037287966	0.012449983169533291
8	Este	0.5239113181910422	0.0023956238340767763	0.0052046682076237446	0.0016417699620015728	0.0015328931685406702	0.001192959704332729	0.002467258391389813	0.0018467130124869542	0.45784268000568557	0.001964115522819971
9	HERALDO	0.010265735584222257	0.0043836840986806475	0.009523874715272895	0.0030042282823135296	0.0028049977264053938	0.0021829631229501917	0.004514766143091099	0.003379247756893978	0.9563464232899079	0.0035940792802622427
10	P.	0.0355607723926225	0.015185194591796144	0.44366190534971145	0.42107768223381814	0.00971658434918503	0.007561840466262248	0.01563926616882019	0.011705801240962998	0.027440970037287966	0.012449983169533291
11	GUSTI	0.4462317305016711	0.015185194591796144	0.032990947240662864	0.01040672412476952	0.00971658434918503	0.007561840466262248	0.42631022427786885	0.011705801240962998	0.027440970037287966	0.012449983169533291
12	SAN	0.013456309815101989	0.005746126118233926	0.6340806868796384	0.00393793763636717	0.003676786541743688	0.0028614245765795077	0.005917948252781688	0.0044295125649487345	0.32118215423179214	0.004711113382812845
