sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
filipinas_001834,filipinas,1834,mujer,mujeres,HARUKO es una de las mujeres más a dmirables de los presentes tiempos.,haruko es una de las mujeres mas a dmirables de los presentes tiempos,13
filipinas_001836,filipinas,1836,patria,patriota,"Es ilustradísima, habla varias lenguas europeas, además de la suya propia; patriota insigne, de criterio elevado y de inteligencia perspicaz.",es ilustradisima habla varias lenguas europeas ademas de la suya propia patriota insigne de criterio elevado y de inteligencia perspicaz,20
filipinas_001836,filipinas,1836,educacion,inteligencia,"Es ilustradísima, habla varias lenguas europeas, además de la suya propia; patriota insigne, de criterio elevado y de inteligencia perspicaz.",es ilustradisima habla varias lenguas europeas ademas de la suya propia patriota insigne de criterio elevado y de inteligencia perspicaz,20
filipinas_001837,filipinas,1837,mujer,esposa,Como esposa es cariñosísima.,como esposa es carinosisima,4
filipinas_001837,filipinas,1837,hogar,esposa,Como esposa es cariñosísima.,como esposa es carinosisima,4
filipinas_001838,filipinas,1838,patria,patria,Todo su afán es cooperar á su esposo en la ímproba labor de elevar á su pátria al pináculo del bienestar y del engrandecimiento.,todo su afan es cooperar a su esposo en la improba labor de elevar a su patria al pinaculo del bienestar y del engrandecimiento,24
filipinas_001838,filipinas,1838,hogar,esposo,Todo su afán es cooperar á su esposo en la ímproba labor de elevar á su pátria al pináculo del bienestar y del engrandecimiento.,todo su afan es cooperar a su esposo en la improba labor de elevar a su patria al pinaculo del bienestar y del engrandecimiento,24
filipinas_001841,filipinas,1841,religion,religión,"La población del Japón es de 50 millones.—Religión Shintoista y Budhismo.—Lengua japonés.—Superficie, 417,412 kilómetros cuadrados.-- Comercio: Importación, 195 millones de pesos oro.",la poblacion del japon es de 50 millones religion shintoista y budhismo lengua japones superficie 417 412 kilometros cuadrados comercio importacion 195 millones de pesos oro,26
filipinas_001844,filipinas,1844,mujer,mujer,"Dedicado exclusivamente a la mujer La mujer sabia edifica de la nada su casa; mas la mujer insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",dedicado exclusivamente a la mujer la mujer sabia edifica de la nada su casa mas la mujer insensata lejos de edificar una casa que no existe destruye con sus manos la que existe ya prov,35
filipinas_001844,filipinas,1844,hogar,casa,"Dedicado exclusivamente a la mujer La mujer sabia edifica de la nada su casa; mas la mujer insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",dedicado exclusivamente a la mujer la mujer sabia edifica de la nada su casa mas la mujer insensata lejos de edificar una casa que no existe destruye con sus manos la que existe ya prov,35
filipinas_001850,filipinas,1850,mujer,mujer,"LA EDUCACION DE LA MUJER En la empresa nobilísima de educar al pueblo, se destaca en primer término la educación de la mujer, modificando esencialmente su modo de ser en la esfera de lo moral.",la educacion de la mujer en la empresa nobilisima de educar al pueblo se destaca en primer termino la educacion de la mujer modificando esencialmente su modo de ser en la esfera de lo moral,35
filipinas_001850,filipinas,1850,patria,pueblo,"LA EDUCACION DE LA MUJER En la empresa nobilísima de educar al pueblo, se destaca en primer término la educación de la mujer, modificando esencialmente su modo de ser en la esfera de lo moral.",la educacion de la mujer en la empresa nobilisima de educar al pueblo se destaca en primer termino la educacion de la mujer modificando esencialmente su modo de ser en la esfera de lo moral,35
filipinas_001850,filipinas,1850,educacion,educación,"LA EDUCACION DE LA MUJER En la empresa nobilísima de educar al pueblo, se destaca en primer término la educación de la mujer, modificando esencialmente su modo de ser en la esfera de lo moral.",la educacion de la mujer en la empresa nobilisima de educar al pueblo se destaca en primer termino la educacion de la mujer modificando esencialmente su modo de ser en la esfera de lo moral,35
filipinas_001850,filipinas,1850,religion,moral,"LA EDUCACION DE LA MUJER En la empresa nobilísima de educar al pueblo, se destaca en primer término la educación de la mujer, modificando esencialmente su modo de ser en la esfera de lo moral.",la educacion de la mujer en la empresa nobilisima de educar al pueblo se destaca en primer termino la educacion de la mujer modificando esencialmente su modo de ser en la esfera de lo moral,35
filipinas_001851,filipinas,1851,mujer,madres,"Las leyes—dice un sabio escritor—que siempre se ocupan en las cosas y casi nunca en las personas, porque su objeto es la paz, no la virtud, no otorgan la suficiente autoridad a las madres, aunque sea su estado mas cierto que el de los padres, nas penosas sus obligaciones, mas importantes sus afanes para el buen orden de las familias, y en general mayor el carino que a sus hijos tienen.",las leyes dice un sabio escritor que siempre se ocupan en las cosas y casi nunca en las personas porque su objeto es la paz no la virtud no otorgan la suficiente autoridad a las madres aunque sea su estado mas cierto que el de los padres nas penosas sus obligaciones mas importantes sus afanes para el buen orden de las familias y en general mayor el carino que a sus hijos tienen,73
filipinas_001851,filipinas,1851,hogar,hijos,"Las leyes—dice un sabio escritor—que siempre se ocupan en las cosas y casi nunca en las personas, porque su objeto es la paz, no la virtud, no otorgan la suficiente autoridad a las madres, aunque sea su estado mas cierto que el de los padres, nas penosas sus obligaciones, mas importantes sus afanes para el buen orden de las familias, y en general mayor el carino que a sus hijos tienen.",las leyes dice un sabio escritor que siempre se ocupan en las cosas y casi nunca en las personas porque su objeto es la paz no la virtud no otorgan la suficiente autoridad a las madres aunque sea su estado mas cierto que el de los padres nas penosas sus obligaciones mas importantes sus afanes para el buen orden de las familias y en general mayor el carino que a sus hijos tienen,73
filipinas_001851,filipinas,1851,religion,virtud,"Las leyes—dice un sabio escritor—que siempre se ocupan en las cosas y casi nunca en las personas, porque su objeto es la paz, no la virtud, no otorgan la suficiente autoridad a las madres, aunque sea su estado mas cierto que el de los padres, nas penosas sus obligaciones, mas importantes sus afanes para el buen orden de las familias, y en general mayor el carino que a sus hijos tienen.",las leyes dice un sabio escritor que siempre se ocupan en las cosas y casi nunca en las personas porque su objeto es la paz no la virtud no otorgan la suficiente autoridad a las madres aunque sea su estado mas cierto que el de los padres nas penosas sus obligaciones mas importantes sus afanes para el buen orden de las familias y en general mayor el carino que a sus hijos tienen,73
filipinas_001852,filipinas,1852,mujer,mujer,"La mujer redimida por el cristianismo, arrancada por la caridad y la civilización de la abyección en que la tenía sumida el bárbaro paganismo de las viejas sociedades, no ha llegado todavía, sin embargo, á ocupar el puesto que de derecho le corresponde en el concierto humano, dada la capital influencia que ejerce en la familia, eje sobre el cual giran todos los organismos sociales y base de lo moral y de las costumbres en todos los tiempos y muy particularmente en los actuales.",la mujer redimida por el cristianismo arrancada por la caridad y la civilizacion de la abyeccion en que la tenia sumida el barbaro paganismo de las viejas sociedades no ha llegado todavia sin embargo a ocupar el puesto que de derecho le corresponde en el concierto humano dada la capital influencia que ejerce en la familia eje sobre el cual giran todos los organismos sociales y base de lo moral y de las costumbres en todos los tiempos y muy particularmente en los actuales,84
filipinas_001852,filipinas,1852,hogar,familia,"La mujer redimida por el cristianismo, arrancada por la caridad y la civilización de la abyección en que la tenía sumida el bárbaro paganismo de las viejas sociedades, no ha llegado todavía, sin embargo, á ocupar el puesto que de derecho le corresponde en el concierto humano, dada la capital influencia que ejerce en la familia, eje sobre el cual giran todos los organismos sociales y base de lo moral y de las costumbres en todos los tiempos y muy particularmente en los actuales.",la mujer redimida por el cristianismo arrancada por la caridad y la civilizacion de la abyeccion en que la tenia sumida el barbaro paganismo de las viejas sociedades no ha llegado todavia sin embargo a ocupar el puesto que de derecho le corresponde en el concierto humano dada la capital influencia que ejerce en la familia eje sobre el cual giran todos los organismos sociales y base de lo moral y de las costumbres en todos los tiempos y muy particularmente en los actuales,84
filipinas_001852,filipinas,1852,religion,moral,"La mujer redimida por el cristianismo, arrancada por la caridad y la civilización de la abyección en que la tenía sumida el bárbaro paganismo de las viejas sociedades, no ha llegado todavía, sin embargo, á ocupar el puesto que de derecho le corresponde en el concierto humano, dada la capital influencia que ejerce en la familia, eje sobre el cual giran todos los organismos sociales y base de lo moral y de las costumbres en todos los tiempos y muy particularmente en los actuales.",la mujer redimida por el cristianismo arrancada por la caridad y la civilizacion de la abyeccion en que la tenia sumida el barbaro paganismo de las viejas sociedades no ha llegado todavia sin embargo a ocupar el puesto que de derecho le corresponde en el concierto humano dada la capital influencia que ejerce en la familia eje sobre el cual giran todos los organismos sociales y base de lo moral y de las costumbres en todos los tiempos y muy particularmente en los actuales,84
filipinas_001853,filipinas,1853,mujer,mujer,"Siendo la mujer la que debe educar á sus hijos, urge la necesidad de educar antes á la mujer de manera distinta á como hoy se le educa, para ponerle en condiciones ventajosas de llenar con provecho tan augusta y santa misión.",siendo la mujer la que debe educar a sus hijos urge la necesidad de educar antes a la mujer de manera distinta a como hoy se le educa para ponerle en condiciones ventajosas de llenar con provecho tan augusta y santa mision,42
filipinas_001853,filipinas,1853,hogar,hijos,"Siendo la mujer la que debe educar á sus hijos, urge la necesidad de educar antes á la mujer de manera distinta á como hoy se le educa, para ponerle en condiciones ventajosas de llenar con provecho tan augusta y santa misión.",siendo la mujer la que debe educar a sus hijos urge la necesidad de educar antes a la mujer de manera distinta a como hoy se le educa para ponerle en condiciones ventajosas de llenar con provecho tan augusta y santa mision,42
filipinas_001854,filipinas,1854,mujer,mujer,"La educación superficial y en ocasiones hasta peligrosa que, por punto general, recibe la mujer en estos tiempos, ne solo no la permite educar á sus hijos del modo y forma que deben ser educados, para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado, sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa.",la educacion superficial y en ocasiones hasta peligrosa que por punto general recibe la mujer en estos tiempos ne solo no la permite educar a sus hijos del modo y forma que deben ser educados para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa,65
filipinas_001854,filipinas,1854,mujer,esposa,"La educación superficial y en ocasiones hasta peligrosa que, por punto general, recibe la mujer en estos tiempos, ne solo no la permite educar á sus hijos del modo y forma que deben ser educados, para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado, sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa.",la educacion superficial y en ocasiones hasta peligrosa que por punto general recibe la mujer en estos tiempos ne solo no la permite educar a sus hijos del modo y forma que deben ser educados para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa,65
filipinas_001854,filipinas,1854,patria,pueblo,"La educación superficial y en ocasiones hasta peligrosa que, por punto general, recibe la mujer en estos tiempos, ne solo no la permite educar á sus hijos del modo y forma que deben ser educados, para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado, sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa.",la educacion superficial y en ocasiones hasta peligrosa que por punto general recibe la mujer en estos tiempos ne solo no la permite educar a sus hijos del modo y forma que deben ser educados para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa,65
filipinas_001854,filipinas,1854,educacion,educación,"La educación superficial y en ocasiones hasta peligrosa que, por punto general, recibe la mujer en estos tiempos, ne solo no la permite educar á sus hijos del modo y forma que deben ser educados, para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado, sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa.",la educacion superficial y en ocasiones hasta peligrosa que por punto general recibe la mujer en estos tiempos ne solo no la permite educar a sus hijos del modo y forma que deben ser educados para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa,65
filipinas_001854,filipinas,1854,hogar,hijos,"La educación superficial y en ocasiones hasta peligrosa que, por punto general, recibe la mujer en estos tiempos, ne solo no la permite educar á sus hijos del modo y forma que deben ser educados, para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado, sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa.",la educacion superficial y en ocasiones hasta peligrosa que por punto general recibe la mujer en estos tiempos ne solo no la permite educar a sus hijos del modo y forma que deben ser educados para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa,65
filipinas_001854,filipinas,1854,hogar,esposa,"La educación superficial y en ocasiones hasta peligrosa que, por punto general, recibe la mujer en estos tiempos, ne solo no la permite educar á sus hijos del modo y forma que deben ser educados, para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado, sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa.",la educacion superficial y en ocasiones hasta peligrosa que por punto general recibe la mujer en estos tiempos ne solo no la permite educar a sus hijos del modo y forma que deben ser educados para que sean en lo futuro ciudadanos dignos de un pueblo libre y honrado sino que ni siquiera las deja estas para llenar medianamente los respetables deberes de la esposa,65
filipinas_001856,filipinas,1856,mujer,mujer,"LA POESIA DE LA MUJER Mi convicción rechaza la idea, generalmente admitida, de que las mujeres que se distinguen ó elevan de lo vulgar son románticas.",la poesia de la mujer mi conviccion rechaza la idea generalmente admitida de que las mujeres que se distinguen o elevan de lo vulgar son romanticas,26
filipinas_001856,filipinas,1856,mujer,mujeres,"LA POESIA DE LA MUJER Mi convicción rechaza la idea, generalmente admitida, de que las mujeres que se distinguen ó elevan de lo vulgar son románticas.",la poesia de la mujer mi conviccion rechaza la idea generalmente admitida de que las mujeres que se distinguen o elevan de lo vulgar son romanticas,26
