documento,tema,n_frases,media_polaridad_bruta,media_polaridad_normalizada,total_positivo,total_negativo,n_negativas,n_neutras,n_positivas,porcentaje_positivas,porcentaje_negativas,porcentaje_neutras
heraldo,mujer,587,0.8253968253968254,0.01414446452772926,702,130,37.0,378.0,278.0,47.36,6.3,64.4
heraldo,hogar,170,0.983957219251337,0.018812316529230128,241,57,16.0,88.0,83.0,48.82,9.41,51.76
heraldo,patria,134,1.4589041095890412,0.021203267230676295,273,60,12.0,47.0,87.0,64.93,8.96,35.07
heraldo,educacion,116,2.056,0.03614660754197886,277,20,3.0,23.0,99.0,85.34,2.59,19.83
heraldo,religion,90,1.4166666666666667,0.023558145478653227,162,26,7.0,32.0,57.0,63.33,7.78,35.56
heraldo,feminismo,67,1.0972222222222223,0.020751396729879596,87,8,0.0,38.0,34.0,50.75,0.0,56.72
heraldo,raza,56,0.46551724137931033,0.00783788082706567,47,20,10.0,26.0,22.0,39.29,17.86,46.43
heraldo,colonialismo,41,0.6097560975609756,0.014377201841152812,26,1,0.0,26.0,15.0,36.59,0.0,63.41
