embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
36209,36210	PER	ISERN BENITEZ	ISERN BENITEZ	Isern Benitez	
36217,36218,36219,36220,36221	MISC	La Mujer en el ArtePor	La Mujer en el Arte	La Mujer en el Arte	
36226,36227,36228	PER	CARMELA EULATE SANURIO	Carmela Eulate Sanjurjo	Carmela Eulate Sanjurjo	Q50672228
36232,36233	PER	NANIURIO VIDAL	Sanjurjo Vidal	Albert Sanjurjo Vidal	Q125687236
36234,36235,36236,36237	LOC	SAN JOSE ST .	SAN JOSE ST .	San Jose St.	
36239,36240	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
36243,36244	LOC	San Juan	San Juan	San Juan	
36249,36250,36251	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
36260	MISC	EL	EL	El	
36277,36278,36279,36280	PER	Reina de la Elegancia	Reina de la Elegancia	Reina de la Elegancia	
36313	MISC	Organdíes	Organdí	Organdí	
36324	MISC	Organdí	Organdí	Organdí	
36491	MISC	McCall	McCall	McCall	
36499,36500,36501,36502	ORG	J. Vilamil & Co.	J. Vilamil & Co.	J. Vilamil & Co.	
36503,36504	LOC	San Juan	San Juan	San Juan	
36509,36510,36511	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
36528,36529,36530,36531	PER	ANA ROQUE DE DUPREY	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
36532,36533	LOC	RIO PIEDRAS	Río Piedras	Río Piedras	
36535,36536	LOC	PUERTO RICO	Puerto Rico	Puerto Rico	
36545,36546	LOC	San Francisco	San Francisco	San Francisco	
36549,36550	LOC	San lusto	San Justo	San Justo	
36577	MISC	China	China	China	
36615,36616	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
36618,36619	LOC	San la	San Juan	San Juan	
36627,36628,36629	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
36632	MISC	TIOWARD	Howard	Howard	
36659	MISC	HOWARD	Howard	Howard	
36676,36677	LOC	PUERTO RICO	Puerto Rico	Puerto Rico	
36688,36689,36690,36691	ORG	SANCHEL MORALES & Co.	Sánchez Morales & Co.	Sánchez Morales & Co.	
36701,36702	LOC	San Juan	San Juan	San Juan	
36709	LOC	Mayaguez	Mayagüez	Mayagüez	
36712,36713,36714	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
