embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
14,15,16,17,18	PER	PETRONILA ANGELICA GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
23,24,25,26	PER	V . VALERA REYES	Valera Reyes	Valera Reyes	
28,29,30,31	PER	PETRONILA A . GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
33,34,35,36	PER	CONSUELO MONTALVO DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
41,42,43,44	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
84	ORG	Patria	Patria	Patria	
548	MISC	Patria	Patria	Patria	
551	MISC	Fémina	Fémina	Fémina	
562	MISC	Fémina	Fémina	Fémina	
577	MISC	Patria	Patria	Patria	
653	MISC	Patria	Patria	Patria	
795	MISC	Patria	Patria	Patria	
849	MISC	Patria	Patria	Patria	
865,866,867,868,869,870,871	PER	MARIA L . DE ANGELIS DE CANINO	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
875,876,877,878	PER	María del Mar Caribe	María del Mar Caribe	María del Mar Caribe	
964,965,966	ORG	patria de Febrero	Patria de Febrero	Patria de Febrero	
1136	ORG	Patria	Patria	Patria	
1324	LOC	Quisqueyana	"Revista ""Quisqueya"""	Revista Quisqueya	
1327,1328,1329	PER	PETRONILA ANGELICA COMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
1332	MISC	Bisfalia	Bisfalia	Bisfalia	
1517	PER	Minerva	Minerva	Minerva	Q6864471
1528	PER	Moisés	Moisés	Moses	Q9077
1570	MISC	FEMINA	Fémina	Fémina	
1713	MISC	Victoria	Victoria	Victoria	
1716,1717,1718,1719	PER	CONSUELO M. DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
1722	ORG	Magnolia	Magnolia	Magnolia	
1730,1731,1732,1733	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
1743,1744	PER	PATIN MACEO	Patín Maceo Veloz	Patín Maceo Veloz	
1753,1754	PER	FABIO FIALLO	Fabio Fiallo	Fabio Fiallo	Q5854181
1758,1759	LOC	teatro Colón	Teatro Colón	Teatro Colón	
1764,1765	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
1778,1779	PER	Fabio Fiallo	Fabio Fiallo	Fabio Fiallo	Q5854181
1809	MISC	Patria	Patria	Patria	
1966	MISC	República	República Dominicana	República Dominicana	
1982	PER	Dulcinea	Dulcinea	Dulcinea	Q1264776
2034	MISC	Patria	Patria	Patria	
2170	ORG	República	República Dominicana	República Dominicana	
2197	MISC	Fémina	Fémina	Fémina	
2318,2319,2320,2321	PER	Miguel A . Guerrero	Miguel A. Guerrero	Miguel A. Guerrero	
2324	MISC	Fémina	Fémina	Fémina	
2334	MISC	Fémina	Fémina	Fémina	
2495	MISC	Patria	Patria	Patria	
2511	MISC	FÉMINA	Fémina	Fémina	
2551	LOC	América	América	América	
2565	MISC	FÉMINA	Fémina	Fémina	
2875	ORG	FÉMINA	Fémina	Fémina	
2907,2908,2909,2910	PER	V . VALERA REYES	Valera Reyes	Valera Reyes	
2964,2965,2966	PER	Victor M. Geraldino	Victor M. Geraldino	Victor M. Geraldino	
2991,2992	PER	Cheita Ricart	Cheita Ricart	Cheita Ricart	
2995,2996,2997	PER	M. Alfaro Reyes	M. Alfaro Reyes	Manuel Alfaro Reyes	
3023,3024,3025	PER	Manuel Mallen Isambert	Manuel Mallen Isambert	Manuel Mallen Isambert	
3032,3033	PER	Lelé Guerra	Lelé Guerra	Lelé Guerra	
3086	PER	Macosana	Macosana	Macosana	
3122	PER	HIMENEO	Himeneo	Himeneo	
3135,3136,3137	PER	Manuel F. Leonor	Manuel F. Leonor	Manuel F. Leonor	
3143,3144	PER	Mélida Mercado	Mélida Mercado	Mélida Mercado	
3166	PER	Alfonso	Alfonso	Alfonso	
3185,3186,3187	PER	Miguel Rodriguez O.	Miguel Rodríguez O.	Miguel Rodríguez O.	
3189,3190,3191,3192	PER	Alfonsina M. de Rodriguez	Alfonsina M. de Rodríguez	Alfonsina M. de Rodríguez	
3198,3199,3200,3201	ORG	La Prensa	La Prensa	La Prensa	
3231,3232	PER	Luis Amiama	Luis Amiama	Luis Amiama	
3258,3259,3260	PER	A . Scaroina	A . Scaroina	A. Scaroina	
3270,3271,3272	ORG	Cuerpo de Bomberos	Cuerpo de Bomberos	Cuerpo de Bomberos	
3380,3381	PER	Moscoso Puello	Moscoso Puello	Anacaona Moscoso Puello	Q111378870
3409,341	PER	Patín MaceoVeloz	Patín Maceo Veloz	Patín Maceo Veloz	
3458,3459	PER	Jorge Pou	Jorge Pou	Jorge Pou	
3464,3465	PER	Delcilida Fiallo	Delcilida Fiallo	Delcilida Fiallo	
3503,3504,3505,3506,3507	PER	Manuel A . Patín Maceo	Manuel A . Patín Maceo	Manuel A. Patín Maceo	
3513	ORG	Fémina	Fémina	Fémina	
3542,3543	PER	Salvador Gonzáles	Salvador Gonzáles	Salvador Gonzáles Escalona	Q1811330
3558,3559,3560,3561	PER	José de Jesús Frómeta	José de Jesús Frómeta	José de Jesús Frómeta	
3565,3566	PER	Natalia García	Natalia Angélica García	Natalia Angélica García	
3580	ORG	FORD	Ford	Ford	
3627,3628,3629	PER	E. C. LESCHHORN	E. C. Leschhorn	E. C. Leschhorn	
3631,3632,3633,3634	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
3673,3674	PER	Evangelina Rodriguez	Evangelina Rodríguez	Andrea Evangelina Rodríguez Perozo	Q16565444
3680,3681,3682	PER	Manuel E. Suncar	Manuel E. Suncar	Manuel E. Suncar	
3689,3690,3691,3692,3693	PER	M. L. Angelis de Canino	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
3695	MISC	Loreley	Loreley	Loreley	
3697,3698	PER	Armando Oscar	Armando Oscar Pacheco	Armando Oscar Pacheco	Q131625582
3704,3705	PER	Patín Maceo	Patín Maceo Veloz	Patín Maceo Veloz	
3711,3712,3713	PER	Petronila A. Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
3719,3720,3721,3722	PER	B . Portela Alvarez	B. Portela Álvarez	B. Portela Álvarez	
3727,3728,3729	PER	José Martinez Conde	José Martínez Conde	José Martínez Conde	
3743,3744,3745,3746	LOC	SAN PEDRO DE MACORIS	San Pedro de Macorís	San Pedro de Macorís	
3755,3756,3757,3758,3759	ORG	M. ALFARO REYES & Co.	M. Alfaro Reyes	Manuel Alfaro Reyes	
3764,3765,3766,3767	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
3856,3857,3858	LOC	EXPOSICION DE MILAN	Milán	Milán	
3909,3910,3911,3912	ORG	FERNANDEZ y CO. S.	Fernández	Fernández	
3914,3915	LOC	C. Trinitaria	C. Trinitaria	C. Trinitaria	
3919	LOC	Duvergé	Duvergé	Duvergé	
3921,3922	LOC	Villa Velazquez	Villa Velázquez	Villa Velázquez	
3925,3926,3927,3928	LOC	S. P. de Macorís	San Pedro de Macorís	San Pedro de Macorís	
3944,3945,3946	PER	PETRONILA ANGELICA GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
3956,3957	PER	VALERA REYES	Valera Reyes	Valera Reyes	
3959,3960,3961,3962	PER	PETRONILA A . GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
3964,3965,3966,3967	PER	CONSUELO MONTALVO DE FRIAS.	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
3971,3972,3973,3974	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
4873	PER	Calipso	Calipso	Calypso	Q1722785
4937,4938	MISC	Ser Omnipotente	Dios	Dios	
4958	LOC	Quisqueya	"Revista ""Quisqueya"""	Revista Quisqueya	
4961,4962	PER	Evangelina RODRIGUEZ	Evangelina Rodríguez	Andrea Evangelina Rodríguez Perozo	Q16565444
5107,5108,5109	PER	Manuel E. Suncar	Manuel E. Suncar	Manuel E. Suncar	
5117,5118,5119,5120	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
5135,5136,5137	PER	Petronila Angélica Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
5146	ORG	Fémina	Fémina	Fémina	
5221	ORG	Pámina	Fémina	Fémina	
5270	ORG	Fémina	Fémina	Fémina	
5340	ORG	Fémina	Fémina	Fémina	
5375	PER	Virgen	Virgen	Mary	Q345
5401,5402,5403,5404,5405,5406	PER	María L . Anglis DE CANINO	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
5415	MISC	Fémina	Fémina	Fémina	
5477	LOC	Macorís	San Pedro de Macorís	San Pedro de Macorís	
5498,5499	PER	José Reyes	José Reyes	José Reyes	
5522	PER	LORELEY	Loreley	Loreley	
5538	PER	Colombina	Colombina	Columbina	Q17302
5542	PER	Arlequínuna	Arlequín	Harlequin	Q17298
5559	LOC	Rhin	Rhin	Rhin	
5640	MISC	Colombina	Colombina	Colombina	
5644	PER	Pierrot	Pierrot	Pierrot	Q17309
5664,5665	PER	Armando OSCAR	Armando Oscar Pacheco	Armando Oscar Pacheco	Q131625582
5757	PER	Abelardo	Abelardo	Abelardo	
5843,5844,5845,5846,5847	PER	M. L. A. de Canino	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
5926,5927,5928,5929	PER	P. A . G.	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
5935,5936,5937,5938	PER	PETRONILA ANGELICA GOMEZ Bisfalia	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
5943	PER	Selene	Selene	Selene	
6118,6119	ORG	Listin Diario	Listín Diario	Listín Diario	
6140,6141	ORG	Listín Diario	Listín Diario	Listín Diario	
6172,6173,6174	PER	María Consuelo Pellerano	María Consuelo Pellerano	María Consuelo Pellerano	
6564,6565	PER	Portela ALVAREZ	B. Portela Álvarez	B. Portela Álvarez	
6576,6577,6578	MISC	EPLAYA DE MUERTO	Playa de Muertos	Playa de Muertos	
6580,6581,6582,6583	LOC	S. P. DE MACORIS	San Pedro de Macorís	San Pedro de Macorís	
6713,6714,6715	PER	José Martinez Conde	José Martínez Conde	José Martínez Conde	
6744,6745	PER	Pedro Velazquez	Pedro Velazquez	Pedro Velazquez	
6750,6751,6752	PER	Adela R Bobea	Adela Bobea	Adela Bobea	
6765,6766	LOC	Parque alvador	Parque Salvador	Parque Salvador	
6796,6797	LOC	parque Salvado	Parque Salvador	Parque Salvador	
6857	LOC	Higuamo	Higuamo	Higuamo	
6878,6879,6880	ORG	Departamento de Sanidad	Departamento de Sanidad	Departamento de Sanidad	
6926,6927	PER	Rafael Alburquerque	Rafael Alburquerque	Rafael Alburquerque	Q3084751
6998,6999	PER	Evangelina Rodriguez	Evangelina Rodríguez	Andrea Evangelina Rodríguez Perozo	Q16565444
7008,7009	PER	itor Hugo	Víctor Hugo	Виктор Гюго	Q535
7150,7151	PER	Liliana Alburquerque	Liliana Alburquerque	Liliana Alburquerque	
7213	PER	Liliana	Liliana Alburquerque	Liliana Alburquerque	
7226	PER	Becquer	Bécquer	Gustavo Adolfo Bécquer	Q203715
7293	PER	Liliana	Liliana	Liliana	
7325	LOC	Ozama	Ozama	Ozama	
7350	PER	Herrera	Herrera	Herrera	
7381	LOC	Borinquen	Borinquen	Borinquen	
7389,7390,7391	PER	María Lnisa Oliver	María Luisa Oliver	María Luisa Oliver	
7415,7416	PER	María Luisa	María Luisa	María Luisa Oliver	
7467,7468,7469	PER	J. M. C.	J. M. C.	J. M. C.	Q30105198
7493,7494	LOC	Ne York	Nueva York	Nueva York	
7519,752	LOC	Oficina Central	Oficina Central	Oficina Central	
7523	LOC	Broadway	Broadway	Broadway	
7525,7526	LOC	NE YORK	Nueva York	Nueva York	
7537	LOC	Colónfaltos	Cristóbal Colón	Cristóbal Colón	
7539,754	LOC	STO .	Santo Domingo	Santo Domingo	
7545,7546	LOC	New York	Nueva York	Nueva York	
7554	LOC	CLYSANTO	Clysanto	Clysanto	
7556,7557,7558	LOC	Sto . Domingo	Santo Domingo	Santo Domingo	
7564,7565	ORG	Revista Calate	Revista Calate	Revista Calate	
7596,7597,7598,7599	PER	Nuestra Señora de Altagracia	Señora de la Altagracia	de la Altagracia	
7605,7606	LOC	Ciudad Capital	Ciudad Capital	Ciudad Capital	
7619,7620,7621,7622	LOC	SAN PEDRO DE MACORIS	San Pedro de Macorís	San Pedro de Macorís	
7633,7634	PER	JOSE ZURIGA	José Zúriga	José Zúriga	
7692,7693	LOC	Centro Español	Centro Español	Centro Español	
7699,77	LOC	Calle Sanchez	Calle Sánchez	Calle Sánchez	
7703,7704,7705,7706	LOC	S. P. de Macorís	San Pedro de Macorís	San Pedro de Macorís	
7710,7711,7712	MISC	La Fama Habanera	La Fama Habanera	La Fama Habanera	
7727,7728,7729	ORG	COMPANIA ANONIMA TABACALERA	Tabacalera	Tabacalera	
7732,7733,7734,7735	LOC	S. P. de Macoris	San Pedro de Macorís	San Pedro de Macorís	
7738,7739,7740,7741	ORG	TERNANDEZ HERMANOS Y CO	Fernández Hermanos y Co.	Fernández Hermanos y Co.	
7743,7744	LOC	SANTO DOMINGO	Santo Domingo	Santo Domingo	
7759	MISC	Machete	Machete	Machete	
7775,7776,7777	PER	J. M. Landestoy	J. M. Landestoy	J. M. Landestoy	
7822,7823	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
7826,7827	LOC	Avenida Capotillo	Avenida Capotillo	Avenida Capotillo	
7830	LOC	FERARRARICA	Ferarrica	Ferarrica	
7850,7851,7852	PER	PETRONILA ANGELICA GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
7859,7860,7861,7862	PER	V . VALERA REYES	Valera Reyes	Valera Reyes	
7864,7865,7866,7867	PER	PETRONILA A . GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
7869,7870,7871,7872	PER	CONSUELO MONTALVO DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
7878,7879,7880,7881	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
7910,7911,7912	LOC	Washing C. ton	Washington	Washington	
8025,8026	ORG	Casa blanca	Casa blanca	Casa blanca	
8042,8043	ORG	EE .	Estados Unidos	Estados Unidos	
8162	ORG	República	República Dominicana	República Dominicana	
8197	ORG	República	República Dominicana	República Dominicana	
8256	PER	Dios	Dios	God	Q190
8261	MISC	Patria	Patria	Patria	
8418	PER	STELLA	Stella	Stella	
8474	PER	Salomón	Salomón	Salomon	Q102289614
8508	PER	Salomón	Salomón	Salomon	Q102289614
8521,8522	MISC	Santas Escrituras	Santas Escrituras	Santas Escrituras	
9007,9008,9009	MISC	La Crónica Meridional	La Crónica Meridional	La Crónica Meridional	
9012	LOC	España	España	España	
9187,9188	PER	FABIO FIALLO	Fabio Fiallo	Fabio Fiallo	Q5854181
9591,9592	PER	FROYLAN TURCIOS	Froilán Turcios	Froylán Turcios	Q598228
9598,9599,9600	MISC	Ateneo de Honduras	Ateneo de Honduras	Ateneo de Honduras	
9744	MISC	Fémina	Fémina	Fémina	
9792	LOC	Macorís	San Pedro de Macorís	San Pedro de Macorís	
9833,9834,9835	PER	Petronila Angelica Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
9840,9841	PER	José Reyes	José Reyes	José Reyes	
9848	MISC	FÉMINA	Fémina	Fémina	
10003,10004,10005	PER	JOSE MARTINEL CONDE	José Martínez Conde	José Martínez Conde	
10013	MISC	Fémina	Fémina	Fémina	
10018	MISC	Fémina	Fémina	Fémina	
10035,10036	MISC	EL VUELO			
10129,1013	MISC	LAS ESTAMPAS			
10190,10191,10192	MISC	Los DOS PRISTONEROS			
10231,10232	LOC	Kao chan	Kao chan	Kao chan	
10263,10264,10265	MISC	LA INÚTIL PEREGRINACIÓN			
10279,1028	LOC	Hua chan	Hua chan	Hua chan	
10293	LOC	Utchien	Utchien	Utchien	
10300	LOC	sukiang	Sukiang	Sukiang	
10310	LOC	Waosta	Waorta	Waorta	
10317,10318	LOC	Hua chan	Hua chan	Hua chan	
10337	LOC	Uetchien	Utchien	Utchien	
10354	LOC	sukiang	Sukiang	Sukiang	
10378	LOC	Waorta	Waorta	Waorta	
10430,10431	PER	Chang Muien	Chang Muien	Chang Muien	
10436,10437,10438	MISC	Ateneo de Honduras	Ateneo de Honduras	Ateneo de Honduras	
10447,10448	PER	F. Orozco	F. Orozco	F. Orozco	
10476,10477	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
10489,10490,10491,10492,10493	PER	Nuestra Señora de la Altagracia	Señora de la Altagracia	de la Altagracia	
10513,10514	PER	Pío NI.	Pío XI	Pius XI	Q42323
10530,10531,10532,10533	PER	Sebastian Leite de Vasconcellos	Sebastian Leite de Vasconcellos	Sebastian Leite de Vasconcellos	
10565,10566	PER	Sumo Pontífice	Sumo Pontífice	Pontífice	
10568	LOC	América	América	América	
10611,10612,10613	PER	Madre del Redentor	Madre del Redentor	Mary	Q345
10649,10650,10651	PER	Madre de Altagracia	Señora de la Altagracia	de la Altagracia	
10725	PER	Higuey	Higuey	Higuey	
10776,10777,10778,10779	PER	Santísima Madre de Dios	Virgen	Mary	Q345
10788	ORG	República	República Dominicana	República Dominicana	
10798,10799,10800	PER	Petronila Angelica Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
10829,1083	LOC	teatro Colón	Teatro Colón	Teatro Colón	
10835,10836	PER	Hugues Pernado	Hugues Pernado	Hugues Pernado	
10867,10868,10869,10870	PER	Nuestra Señora de Altagracia	Señora de la Altagracia	de la Altagracia	
10930,10931,10932,10933	PER	Sebastián Leite de Vasconcellos	Sebastian Leite de Vasconcellos	Sebastian Leite de Vasconcellos	
10948,10949	PER	Pio XI	Pío XI	Pius XI	Q42323
10958,10959,10960,10961	PER	Nuestra Señora de Altagracia	Señora de la Altagracia	de la Altagracia	
11039	MISC	Fémina	Fémina	Fémina	
11053,11054	PER	de Vasconcellos	Sebastian Leite de Vasconcellos	Sebastian Leite de Vasconcellos	
11067	MISC	Fémina	Fémina	Fémina	
11094,11095,11096	MISC	Virgen de Altagracia	Señora de la Altagracia	de la Altagracia	
11151,11152,11153,11154	PER	Consuelo M. de Frías	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
11167	LOC	CANGES	Canges	Canges	
11184,11185,11186	ORG	L N Hora	L. N. Hora	L. N. Hora	
11189	LOC	Azua	Azúa	Azúa	
11215	ORG	Macorís	San Pedro de Macorís	San Pedro de Macorís	
11227	ORG	Macorís	San Pedro de Macorís	San Pedro de Macorís	
11250,11251,11252	PER	Reraida Ay. dar	Reraida Ay. dar	Reraida Ay. dar	
11260	LOC	Milán	Milán	Milán	
11268	MISC	Behoven	Beethoven	Beethoven	
11300,11301	PER	Guillermina Durán	Guillermina Durán	Guillermina Durán	
11350,11351	PER	Toñita Ceara	Toñita Ceara	Toñita Ceara	
11386,11387	LOC	New Yore	Nueva York	Nueva York	
11419,1142	LOC	NE YORA	Nueva York	Nueva York	
11429	LOC	Colón	Cristóbal Colón	Cristóbal Colón	
11432	LOC	STO	Santo Domingo	Santo Domingo	
11437,11438	LOC	New York	Nueva York	Nueva York	
11450,11451,11452	LOC	Sto . Domingo	Santo Domingo	Santo Domingo	
11464,11465	LOC	STO .	Santo Domingo	Santo Domingo	
11500,11501	PER	Sererio perroa	Sererio Perroa	Sererio Perroa	
11504	LOC	Colón	Cristóbal Colón	Cristóbal Colón	
11508	MISC	Pedro	Pedro	Pedro	
11509,1151	LOC	de Macorís	San Pedro de Macorís	San Pedro de Macorís	
11546,11547	PER	Daniel Gonzalez	Daniel González	Daniel González	
11553,11554,11555,11556	MISC	S. P. de Macorís	San Pedro de Macorís	San Pedro de Macorís	
11578,11579	MISC	Ariza y	Ariza	Ariza	
11580	PER	Lopez	Lopez	Lopez	
11598	MISC	Independencia	Independencia	Independencia	
11602,11603	PER	Rafael Deligne	Rafael Deligne	Rafael Deligne	
11604,11605,11606,11607	MISC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
11610,11611	PER	Rafael Deligne	Rafael Deligne	Rafael Deligne	
11617,11618,11619,11620	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
11651	MISC	Independencia	Independencia	Independencia	
11654,11655,11656,11657	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
11660	MISC	Fémina	Fémina	Fémina	
11708	LOC	Macorís	San Pedro de Macorís	San Pedro de Macorís	
11727,11728,11729	PER	Petronila ángelica Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
11734,11735	PER	José Reyes	José Reyes	José Reyes	
11789,11790,11791	PER	PETRONILA ANGELICA GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
11798,11799,11800	PER	V VALERA REYES	Valera Reyes	Valera Reyes	
11803,11804,11805,11806	PER	PETRONILA A . GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
11808,11809,11810,11811	PER	CONSUELO MONTALVO DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
11816,11817,11818,11819	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
11827,11828,11829,11830,11831,11832,11833,11834	MISC	Plegaria á Maria , Reina de la Alagracia	Plegaria á Maria , Reina de la Alagracia	Plegaria á Maria, Reina de la Alagracia	
11842,11843,11844,11845	PER	Reina de los Cielos	Virgen	Mary	Q345
11948	PER	Virgen	Virgen	Mary	Q345
11977	MISC	Yugo	Yugo	Yugo	
11986	MISC	Norte	Norte	Norte	
12005	PER	Duarte	Duarte	Duarte	
12007	PER	Mella	Mella	Mella	
12023	MISC	Sol	Sol	Sol	
12057,12058	PER	Supremo Hacedor	Dios	God	Q190
12073	MISC	Independencia	Independencia	Independencia	
12086	MISC	Perla	Perla	Perla	
12100	MISC	Oasis	Oasis	Oasis	
12112	MISC	Virtudes	Virtudes	Virtudes	
12120	MISC	Consuelo	Consuelo	Consuelo	
12144	PER	REINA	Reina	Reina	
12147	PER	MAGNOLIA	Magnolia	Magnolia	Q130567167
12160,12161,12162,12163	LOC	S. P. de Macorís	San Pedro de Macorís	San Pedro de Macorís	
12186	ORG	Fémina	Fémina	Fémina	
12321,12322,12323	PER	Petronila A. Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
12328	ORG	Fémina	Fémina	Fémina	
12341,12342	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
12353,12354	PER	Petronila Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
12359	ORG	Fémina	Fémina	Fémina	
12378	PER	Gómez	Gómez	Gómez	
12399	ORG	Fémina	Fémina	Fémina	
12472,12473,12474,12475	PER	Mercedes N. de Frómeta	Mercedes N. de Frómeta	Mercedes N. de Frómeta	
12478,12479	LOC	Santo Demingo	Santo Domingo	Saint Dominic	Q44091
12485	ORG	Fémina	Fémina	Fémina	
12494,12495,12496	PER	Miguel A Vuylsteke	Miguel A Vuylsteke	Miguel A Vuylsteke	
12499	PER	Obispo	Obispo	Obispo	
12501	LOC	Curazao	Curazao	Curazao	
12505,12506,12507	PER	Felipe Rincón G.	Felipe Rincón G.	Felipe Rincón G.	
12511	LOC	Caracas	Caracas	Caracas	
12519,12520,12521,12522	PER	Sebastián Leites de Vasconcellos	Sebastian Leite de Vasconcellos	Sebastian Leite de Vasconcellos	
12524	MISC	Arzobispo	Arzobispo	Arzobispo	
12526	LOC	Damietta	Damieta	Damieta	
12528,12529	MISC	Delegado Apostólico	Delegado Apostólico	Delegado Apostólico	
12533,12534,12535	PER	Adolfo A. Nouel	Adolfo A. Nouel	Adolfo Alejandro Nouel	Q163612
12539,1254	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
12548,12549	PER	Obispo de	Obispo	Obispo	
12550,12551	LOC	Cabo Haitiano	Cabo Haitiano	Cabo Haitiano	
12565,12566,12567	PER	Leon Von Hegelson	Leon Von Hegelson	Leon Von Hegelson	
12573	LOC	Curazao	Curazao	Curazao	
12577,12578,12579	PER	José Torres Díaz	José Torres Díaz	José Torres Díaz	
12581	PER	Vicario	Vicario	Vicario	
12583,12584	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
12588,12589	PER	Giovanni Campa	Giovanni Campa	Giovanni Campa	
12591,12592,12593	PER	Caballero de Capa	Caballero de Capa	Caballero de Capa	
12601,12602,12603	PER	Benedetto Giuseppe Virilli	Benedetto Giuseppe Virilli	Benedetto Giuseppe Virilli	
12613,12614,12615,12616	PER	Luis A. de Mena	Luis A. de Mena	Luis A. de Mena	
12627,12628,12629	PER	Reginaldo S. Sculpi	Reginaldo S. Sculpi	Reginaldo S. Sculpi	
12635	LOC	Caracas	Caracas	Caracas	
12650,12651	PER	Delegado Apostólico	Delegado Apostólico	Delegado Apostólico	
12658,12659,12660,12661	PER	P. Venancio de Ecia	P. Venancio de Ecia	P. Venancio de Écija	
12670,12671,12672,12673,12674	LOC	de San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
12691	MISC	Coronación	Coronación Canóniga	Coronación Canóniga	
12693,12694,12695,12696,12697	PER	Nuestra Señora de la Altagracia	Señora de la Altagracia	de la Altagracia	
12708	MISC	Santidad	Santidad	Santidad	
12769,12770,12771,12772,12773	PER	Nuestra Señora de la Altagracia	Señora de la Altagracia	de la Altagracia	
12851	PER	Virgen	Virgen	Mary	Q345
12853,12854,12855	PER	Madre de Dios	Madre de Dios	Mary	Q345
12858	PER	Reina	Reina	Reina	
12860,12861,12862,12863	PER	Soberana de la Altagracia	Señora de la Altagracia	de la Altagracia	
12890,12891,12892,12893	PER	Sra de la Altagracia	Señora de la Altagracia	de la Altagracia	
12958	LOC	Roma	Roma	Roma	
12961,12962	MISC	Ciudad Eterna	Roma	Roma	
12995,12996	PER	Cristo Jesús	Cristo	Jesus Christ	Q302
12999	LOC	Roma	Roma	Roma	
13005	PER	Gracos	Gracos	Gaius Gracchus	Q297183
13007	PER	Cicerón	Cicerón	Cicero	Q1541
13009	PER	Escévolas	Escévolas	Gaius Mucius Scaevola	Q312660
13011	PER	Salustio	Salustio	Salutius	Q723167
13013,13014	PER	Tito Livio	Tito Livio	Titus Livius	Q2039
13016	PER	Tácito	Tácito	Tacitus	Q177988
13018	PER	Virgilic	Virgilio	Virgil	Q1398
13020	PER	Horacio	Horacio	Horace	Q6197
13022	PER	Ovidio	Ovidio	Ovid	Q7198
13027	MISC	Romade	Roma	Roma	
13029	MISC	Cónsules	Cónsules	Cónsules	
13049	LOC	Coliseo	Coliseo	Coliseo	
13053	LOC	Duomos	Duomos	Duomos	
13055	LOC	Baptisterios	Baptisterios	Baptisterios	
13062	MISC	Romade	Roma	Roma	
13063	PER	Rafael	Rafael	Raphael	Q5597
13065,13066	PER	Miguel Angel	Miguel Ángel	Michelangelo	Q5592
13068	PER	Dante	Dante	Dante Alighieri	Q1067
13070	PER	Petrarca	Petrarca	Petrarch	Q1401
13072	PER	Ariosto	Ariosto	Ludovico Ariosto	Q48900
13074,13075,13076,13077,13078,13079,13080	PER	Tasso de Fra Angélico Vinciy el Tiziano	Tasso de Fra Angélico Vinciy el Tiziano	Titian	Q47551
13083	PER	Pallestrina	Pallestrina	Giovanni Pierluigi da Palestrina	Q179277
13085	PER	Donizetti	Donizetti	Gaetano Donizetti	Q101698
13087	PER	Verdi	Verdi	Giuseppe Verdi	Q7317
13090	PER	Galileo	Galilea	Gali Diva	Q127696228
13093	PER	Vico	Vico	Giambattista Vico	Q178709
13095	PER	Taparelli	Taparelli	Luigi Taparelli	Q1876266
13124	LOC	Roma	Roma	Roma	
