embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
100018	PER	Nillos	Niklos	Niklos	
100045,1	LOC	calle Vorosmarty	Calle Vorosmarty	Calle Vorosmarty	
100050	PER	Paula	Paula	Paula	
100067	PER	Niklos	Niklos	Niklos	
100078	PER	Dios	Dios	God	Q190
100089	PER	Paula	Paula	Paula	
100095	PER	Dios	Dios	God	Q190
100153	PER	Niklos	Niklos	Niklos	
100196	PER	Paula	Paula	Paula	
100208	PER	Niklos	Niklos	Niklos	
100209	PER	Niklos	Niklos	Niklos	
100326	PER	Paula	Paula	Paula	
100340	PER	Niklos	Niklos	Niklos	
100367	MISC	Fémina	Fémina	Fémina	
100372	PER	Rosa	Rosa	Rosa	
100377	PER	Felicia	Felicia	Felicia	
100382	PER	Laura	Laura	Laura	
100384	PER	Tomás	Tomás	Tomás	
100389	PER	Rosa	Rosa	Rosa	
100470	PER	Carmen	Carmen	Carmen	Q50386809
100477,100478,100479	PER	María R .	María R .	Maria R.	Q94399648
100481	PER	Vizón	Vizón	Vizón	
100492	PER	Diosa	Diosa	Diosa	
100712,100713,100714,100715,100716,100717	PER	C. E . M de CRUZADO	C. Enriqueta Maggiolo de Cruzado	C. Enriqueta Maggiolo de Cruzado	
100719	MISC	Violeta	Violeta	Violeta	
100722,1007	LOC	San Cristóbal	San Cristóbal	San Cristóbal	
100735	PER	CRISTO	Cristo	Jesus Christ	Q302
100753	PER	Dios	Dios	God	Q190
100800	PER	Dios	Dios	God	Q190
100981	PER	Dios	Dios	God	Q190
101009,101	PER	VICENTE MEDINA	Vicente Medina	Vicente Medina	Q2892054
101014	ORG	FEMINA	Fémina	Fémina	
101027	ORG	Fémina	Fémina	Fémina	
101231	ORG	Fémina	Fémina	Fémina	
101261,101262,101263,101264	PER	PURA MARIA PUELLO SÁNCHEZ	Pura María Puello Sánchez	Pura María Puello Sánchez	
101270	PER	MARIA	María	Mary	Q345
101272,1013	MISC	MAR CARIBE	MAR CARIBE	Mar Caribe	
101284	PER	Margot	Margot	Margot	
101316	PER	Magnolia	Magnolia	Magnolia	Q130567167
101426,101427,101428,101429	PER	Antonio de los Ríos	Antonio de los Ríos	Antonio de los Ríos	
101457,101458,101459,101460	PER	Herminia Lovatón de Lugo	Herminia Lovatón de Lugo	Herminia Lovatón de Lugo	
101465,1015	PER	Cristián Lugo	Cristián Lugo	Cristián Lugo	
101519,1015	PER	Carmita Mallén	Carmita Mallén	Carmita Mallén	
101569,1016	PER	Victoria Chahim	Victoria Chahim	Victoria Chahim	
101574,1016	PER	José Steffan	José Steffan	José Steffan	
101593,101594,101595	PER	Kamel de Hazim	Kamel de Hazim	Kamel de Hazim	
101597,101598,101599	PER	Lola de Diaz	Lola de Diaz	Lola de Diaz	
101601,101602,101603	PER	C. de Gonzalez	C. de Gonzalez	Celina L. de Gonzalez	
