embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
71591,71592	PER	Macario Adriático	Macario Adriático	Macario Adriático	Q12967528
71594,71595,71596,71597	PER	Jaime C. de Veyra	Jaime C. de Veyra	Jaime de Veyra	Q2597955
71599,71600	PER	Rafael Palma	Rafael Palma	Rafael Palma	Q2789851
71602,71603,71604,71605	PER	Luciano de la Rosa	Luciano de la Rosa	Luciano de la Rosa	
71607,71608	PER	Gregorio Araneta	Gregorio Araneta	Gregorio Araneta	Q2044223
71610,71611,71612	PER	Arsenio Cruz Herrera	Arsenio Cruz Herrera	Arsenio Cruz-Herrera	Q4796475
71614,71615	PER	Pacífico Victoriano	Pacífico Victoriano	Pacífico Victoriano	
71617,71618	PER	Cecilio Apóstol	Cecilio Apóstol	Cecilio Apóstol	Q3356844
71620,71621,71622	PER	PasCual H. Poblete	PasCual H. Poblete	پاسكوال اتش. پوبليت	Q7141864
71631	LOC	Filipinas	Filipinas	Filipinas	
71678	MISC	Bayan	Bayan	Bayan	
71818,71819	LOC	Sangkapuhang Filipinas	Filipinas	Filipinas	
71842	MISC	Bayang	Bayan	Bayan	
71868	LOC	Filipinas	Filipinas	Filipinas	
71929	MISC	Bayan	Bayan	Bayan	
72149,72150	MISC	Santong Kasulatan	Santong Kasulatan	Santong Kasulatan	
72198	LOC	Filipinas	Filipinas	Filipinas	
72220	LOC	FILIPINAS	Filipinas	Filipinas	
72233	LOC	filipina'y	Filipinas	Filipinas	
72247	LOC	Filipinas	Filipinas	Filipinas	
72326	LOC	MayKapal	MayKapal	MayKapal	
72598	LOC	Sangkapuluang	Sangkapuluang	Sangkapuluang	
72614	LOC	FILIPINAS	Filipinas	Filipinas	
72716	LOC	Maynila	Manila	Manila	
