embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
22100,22101	PER	Mallde Montoya	Mallde Montoya	Matilde Montoya	Q4794047
22106	MISC	Medicina	Medicina	Medicina	
22109	LOC	República	República	República	
22116	LOC	Chile	Chile	Chile	
22123	MISC	Jurisprudencia	Jurisprudencia	Jurisprudencia	
22167,22168	ORG	Cámarade Comercio	Cámarade Comercio	Cámarade Comercio	
22172	LOC	Ecuador	Ecuador	Ecuador	
22174	LOC	Columbia	Columbia	Columbia	
22188	LOC	Veneznela	Venezuela	Venezuela	
22193	PER	Baralt	Baralt	Luis Alejandro Baralt Zacharie	Q107504347
22208	LOC	Perú	Perú	Perú	
22225	LOC	Uruguny	Uruguny	Uruguny	
22227	LOC	Bolivía	Bolivía	Bolivía	
22376	MISC	FILIPINAS	Filipinas	Filipinas	
22400	ORG	Guanajuato	Guanajuato	Guanajuato	
22407	PER	Ingares	Ingares	Ingares	
22420	LOC	Tulaen	Tulaen	Tulaen	
22475,22476,22477,22478	LOC	San Juan del Rio	San Juan del Rio	San Juan del Rio	
22509	LOC	Querétaro	Querétaro	Querétaro	
22526	PER	Maximiliano	Maximiliano	Maximiliano I de México	
22552	LOC	Salao	Salao	Salao	
22576	LOC	Guanainato	Guanajuato	Guanajuato	
22631,22632,22633,22634	MISC	NIEVOS PROGRESOS DE GUANAJUATO	Guanajuato	Guanajuato	
22653,22654	PER	PETER M.	Peter M. Myers	Peter M. Myers	
22666	LOC	Guanajuato	Guanajuato	Guanajuato	
22680	LOC	Mexico	México	México	
22697	LOC	Guanajuato	Guanajuato	Guanajuato	
22811	LOC	Guanajuato	Guanajuato	Guanajuato	
22836	LOC	Mexico	México	México	
23010	PER	Tinding	Tinding	Tinding	
23054	PER	Tinding	Tinding	Tinding	
23058	PER	Pepe	Pepe	Pepe	
23096	LOC	Pako	Pako	Pako	
23111	PER	Tindingl	Tinding	Tinding	
23117	PER	Pepe	Pepe	Pepe	
23140	LOC	Hongkong	Hongkong	Hongkong	
23145	LOC	Manila	Manila	Manila	
23151	PER	Tinding	Tinding	Tinding	
23158,23159	PER	FELISBERTA SOLIONGRO.	Felisberta Soliongko	Felisberta Soliongko	
23231	LOC	Marfil	Marfil	Marfil	
23246	LOC	Guanainato	Guanajuato	Guanajuato	
23252	LOC	Marfil	Marfil	Marfil	
23275,23276,23277	MISC	PUERIA DE SOL	Puerta del Sol	Puerta del Sol	
23674	MISC	Termina	Termina	Termina	
23877	LOC	México	México	México	
23882	LOC	Guanajuato	Guanajuato	Guanajuato	
24103	MISC	Madres	Madres	Madres	
24126	ORG	Pátria	Patria	Patria	
24142	MISC	FILIPINAS	Filipinas	Filipinas	
24165,24166	LOC	S. Paulo	S . Paulo	S. Paulo	
24168	LOC	Brasil	Brasil	Brasil	
24507	LOC	Shetland	Shetland	Shetland	
24665	LOC	Shetland	Shetland	Shetland	
24719,24720	PER	Amalia Francisco	Amalia Francisco	Amalia Francisco	
24722,24723	PER	Genoveva Camaclan	Genoveva Camaclan	Genoveva Camaclan	
24730	LOC	Tavabas	Tayabas	Tayabas	
25068,25069	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
25079	LOC	FILIPINAS	Filipinas	Filipinas	
25085,25086	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
25095	LOC	Manila	Manila	Manila	
25112	LOC	Manila	Manila	Manila	
25489,25490,25491,25492	MISC	La Union lbero Americana	La Union lbero Americana	La Union lbero Americana	
25497,25498,25499,25500,25501	PER	Da Concepción Jimeno de Flaquer	Da Concepción Jimeno de Flaquer	Concepción Gimeno de Flaquer	Q17496308
25514	LOC	Termodonte	Termodonte	Termodonte	
25518	PER	Blasta	Blasta	Blasta	
25529	LOC	Bohemía	Bohemía	Bohemía	
25541	PER	Semíramis	Semiramis	Semiramis	Q107996086
25543	PER	Artemisa	Artemisa	Artemisa	Q3545616
25657	PER	Eva	Eva	Eva	Q830183
25713	PER	Curie	Curie	Marie Sklodowska-Curie	Q7186
25728	MISC	Terapentica	Terapentica	Terapentica	
25829,25830,25831,25832	PER	Luisa de La Valiére	Luisa de La Valiére	Luisa de La Valière	
25941	MISC	FILIPINAS	Filipinas	Filipinas	
26105	LOC	Guanaivato	Guanajuato	Guanajuato	
26252	LOC	Marfil	Marfil	Marfil	
26402	MISC	Evangelio	Evangelio	Evangelio	
26461	LOC	España	España	España	
26522	PER	LIORA	LIORA	Liora	
26958,26959,26960,26961	MISC	LA PERIA DEL SOL	Puerta del Sol	Puerta del Sol	
27089,27090	LOC	teatro Inárez	teatro Inárez	teatro Inárez	
27231	PER	Diaz	Diaz	Diaz	
27675,27676	PER	MIMOSA PEDICA	MIMOSA PEDICA	Mimosa Pedica	
27689,27690,27691,27692,27693,27694,27695	LOC	Plaza de Santa Cruz , Núms .	Plaza de Santa Cruz	Plaza de Santa Cruz	
27729	ORG	Pátria	Patria	Patria	
27799,27800	MISC	LA ESPERANZA	La Esperanza	La Esperanza	
27821	MISC	FILIPINAS	Filipinas	Filipinas	
27829	LOC	PILIPINA	Filipinas	Filipinas	
27856,27857	ORG	CITY PLATING	CITY PLATING	City Plating	
27863	LOC	Arlegui	Arlegui	Arlegui	
27878	LOC	Manila	Manila	Manila	
27898	LOC	Filipinas	Filipinas	Filipinas	
28523,28524	PER	Florante Sinulat	Florante Sinulat	Florante at Laura	Q5460489
28526,28527	PER	HERMENEGILDO Cruz	HERMENEGILDO Cruz	Hermenegildo Cruz	Q43723313
28539,28540	PER	Francisco Baltazar	Francisco Baltazar	Francisco H. Baltazar	Q12175922
28562	LOC	Maynila	Manila	Manila	
28568,28569,28570,28571	MISC	Liwasan ng᷉ Sta .	Liwasan ng᷉ Sta .	Liwasan ng᷉ Sta.	
28573	MISC	Cruz	Cruz	Cruz	
28664,28665,28666,28667	PER	Pectora , CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
28676	LOC	FILIPINAS	Filipinas	Filipinas	
28679,28680,28681,28682	PER	Admra , FRANCISCA GESMUNDO	Admra , FRANCISCA GESMUNDO	Francisca Gesmundo	
28691	LOC	Manila	Manila	Manila	
28717	LOC	Manila	Manila	Manila	
28744	MISC	CONSTON	CONSTON	Conston	
28745,28746,28747,28748	LOC	THE MARY S. HOSPITAL	THE MARY S. HOSPITAL	The Mary S. Hospital	
28795	PER	Kinkaid	Kinkaid	Kinkaid	
28886	ORG	Filipinas	Filipinas	Filipinas	
28893	PER	Kinkaid	Kinkaid	Kinkaid	
28992	LOC	Manila	Manila	Manila	
29003,29004,29005,29006,29007	LOC	Mary J. Johnston memorial Hospital	The Mary J. Johnston Memorial Hospital	The Mary J. Johnston Memorial Hospital	
29035	PER	Vds.	Vds.	Vds.	
29098,29099	PER	Rebecca Parish	Rebecca Parish	Rebecca Parrish	Q15998289
29116,29117,29118,29119,29120	LOC	Hospital Conmemorativo de Mar. Jonston	The Mary J. Johnston Memorial Hospital	The Mary J. Johnston Memorial Hospital	
29133,29134	LOC	calle Quesada	calle Quesada	calle Quesada	
29139	LOC	Tondo	Tondo	Tondo	
29150	LOC	Manila	Manila	Manila	
29175	LOC	Tondo	Tondo	Tondo	
29182	LOC	Manila	Manila	Manila	
29320,29321,29322,29323,29324,29325	LOC	THE MARY J. JONSTON MEMORIAL MOSPITAL	The Mary J. Johnston Memorial Hospital	The Mary J. Johnston Memorial Hospital	
29345	LOC	Manila	Manila	Manila	
29518,29519,29520,29521	LOC	Hostal Marn J. Jolston	Hostal Marn J. Jolston	Hostal Marn J. Jolston	
29560	LOC	Manila	Manila	Manila	
29658	MISC	Medicina	Medicina	Medicina	
29661	MISC	Cirugía	Cirugía	Cirugía	
29849,29850,29851	PER	Mise Rebecca Parish	Rebecca Parish	Rebecca Parrish	Q15998289
29859,29860,29861	PER	Mies Gertrade Diersbach	Mies Gertrade Diersbach	Gertrade Diersbach	
29863,29864,29865	PER	Miss Rose Duddley	Miss Rose Duddley	Rose Duddley	
29871,29872,29873,29874,29875,29876	LOC	The Mary J. Johnston Memorial Hospital	The Mary J. Johnston Memorial Hospital	The Mary J. Johnston Memorial Hospital	
29881,29882,29883,29884	PER	Mr S. B. Johnston	Mr S. B. Johnston	S. B. Johnston	
29887,29888	LOC	St. Paul	St. Paul	St. Paul	
29890	LOC	Minnesota	Minnesota	Minnesota	
30158,30159,30160,30161	LOC	Hospital Marru 3 Jonston	The Mary J. Johnston Memorial Hospital	The Mary J. Johnston Memorial Hospital	
30182	MISC	Dios	Dios	Dios	
30218	LOC	FILIPINAS	Filipinas	Filipinas	
30243	LOC	FILIPINAS	Filipinas	Filipinas	
30760	MISC	GUANAJUAINO	Guanajuato	Guanajuato	
30774,30775,30776	PER	PETER M. MES	Peter M. Myers	Peter M. Myers	
30804,30805,30806	LOC	Iglesia de Valenciana	Iglesia de Valenciana	Iglesia de Valenciana	
30891	LOC	México	México	México	
30901	LOC	México	México	México	
30941	LOC	Guanajuato	Guanajuato	Guanajuato	
31142,31143	PER	San Juan	San Juan	San Juan	
31144	LOC	Bantista	Bantista	Bantista	
31241	ORG	Pátria	Patria	Patria	
31251	MISC	FILIPINAS	Filipinas	Filipinas	
31273	MISC	Crepes-POSITO	Crepes-POSITO	Crepes-POSITO	
31339	PER	Hidalgo	Hidalgo	Hidalgo	
31342	LOC	Gnanajuato	Guanajuato	Guanajuato	
31361	MISC	Jorge	Jorge	Jorge	
31362,31363,31364	PER	Washington de Mexico	Washington de Mexico	Washington de Mexico	
31369,31370	LOC	San Felipe	San Felipe	San Felipe	
31393	LOC	Chihuahuaen	Chihuahuaen	Chihuahuaen	
31400	LOC	Guanajuato	Guanajuato	Guanajuato	
31407	LOC	Alhondigna	Alhondigna	Alhondigna	
31409	LOC	Graniditas	Graniditas	Graniditas	
31428	PER	Hidalgo	Hidalgo	Hidalgo	
31509	LOC	Guanainato	Guanajuato	Guanajuato	
31676	LOC	Panteón	Panteón	Panteón	
31688	LOC	México	México	México	
31760	LOC	Tamboanga	Zamboanga	Zamboanga	
32067,32068	PER	ISABEL CORTEZ.	Isabel Cortez	Isabel Cortez	
32245,32246	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
32247	LOC	MANILA	Manila	Manila	
32295	PER	Voltaes	Voltaes	Voltaes	
33697,33698,33699	PER	Elizabet Barrett Browning	Elizabet Barrett Browning	Elizabeth Barrett Browning	Q228494
33800	PER	Ciceron	Ciceron	Cicerón	Q1541
34110	LOC	FILIPINAS	Filipinas	Filipinas	
34112,34113	PER	Charles Kingslev	Charles Kingslev	Charles Kingslev	
34136	PER	Kingsley	Kingsley	Charles Kingsley	Q353238
34152	PER	Emerson	Emerson	Ralph Waldo Emerson	Q48226
34476,34477	PER	BELISARIO ROSAS	BELISARIO ROSAS	Belisario Rosas	
34689	MISC	Mengue	Benguet	Benguet	
34705	PER	Pepita	Pepita	Pepita	
34713	MISC	Zeppelin	Zeppelin	Zeppelin	
34718	MISC	Wright	Wright	Wright	
34722	MISC	Antoinette	Antoinette	Antoinette	
34728	PER	Mara	Mara	Mara	
34735	PER	Hoffding	Hoffding	Harald Høffding	Q703531
34738,34739	PER	Oswald Kulpe	Oswald Kulpe	Oswald Külpe	Q61190
34754,34755	PER	Jean Perrin	Jean Perrin	Jean Perrin	
34759,34760	MISC	Wald hute	Wald hute	Wald hute	
34771	PER	Lloyd-George	Lloyd-George	Lloyd-George	
34783	LOC	Basvo	Basvo	Basvo	
34806	PER	Kempis	Kempis	Tomás de Kempis	Q220976
34880	PER	Pepita	Pepita	Pepita	
34996,34997	PER	Padre Celestial	Padre Celestial	Dios	Q190
35026	PER	Pepita	Pepita	Pepita	
35286	PER	Pepita	Pepita	Pepita	
35374	PER	Dios	Dios	Dios	Q190
35399	PER	Pepita	Pepita	Pepita	
35614	PER	Pepita	Pepita	Pepita	
35787	PER	Pepita	Pepita	Pepita	
36050	PER	Dios	Dios	Dios	Q190
36054	PER	Pepita	Pepita	Pepita	
36173,36174	PER	FLORINDA LIGAYA	FLORINDA LIGAYA	Florinda Ligaya	
36177	LOC	FILIPINAS	Filipinas	Filipinas	
36478,36479	PER	ELENA MATINTIMAN	ELENA MATINTIMAN	Elena Matintiman	
36497,36498,36499	PER	Mariano A. Ganan	Mariano A. Ganan	Mariano A. Ganan	
36516	LOC	Gunao	Gunao	Gunao	
36519	LOC	Kiapo	Quiapo	Quiapo	
36573	LOC	Francisco	Francisco	Francisco	
36577,36578	LOC	de Cebú	Cebú	Cebú	
36580	LOC	Cebú	Cebú	Cebú	
36619,36620,36621,36622	LOC	PLAZA DE SANTA CRUZ	Plaza de Santa Cruz	Plaza de Santa Cruz	
36653	ORG	Pátria	Patria	Patria	
36667	PER	LIWAYAY	Liwayway	Liwayway	
36720,36721	LOC	Jardin Botánico	Jardin Botánico	Jardin Botánico	
36805	PER	Luisa	Luisa	Luisa	
36904	PER	Luisa	Luisa	Luisa	
36981	PER	Angela	Ángela	Ángela	
37114	PER	Luisa	Luisa	Luisa	
37179	PER	Luisa	Luisa	Luisa	
37197	PER	Angela	Ángela	Ángela	
37212	PER	Lnisa	Lnisa	Lnisa	
37296,37297	MISC	premo NOBEL	Premio Nobel	Premio Nobel	
37305,37306	MISC	premio Nobel	Premio Nobel	Premio Nobel	
37331	PER	Curie	Curie	Marie Sklodowska-Curie	Q7186
37346	PER	Becuerel	Becuerel	Becuerel	
37361,37362,37363	PER	Baronesa yon Suttuer	Baronesa yon Suttuer	Baronesa von Suttuer	
37371,37372	MISC	Ground Arms	Ground Arms	Ground Arms	
37411,37412	PER	Selma Lagerloff	Selma Lagerloff	Selma Lagerloff	
37450	LOC	Suecia	Suecia	Suecia	
37453	LOC	Alemania	Alemania	Alemania	
37458	LOC	Europa	Europa	Europa	
37468	PER	Nobel	Nobel	Alfred Nobel	Q23810
37479	PER	Marconi	Marconi	Guglielmo Giovanni Maria Marconi	Q36488
37482,37483	PER	Profesor Braun	Profesor Braun	Oskar Braun	Q94789473
37486	LOC	Estrasburgo	Estrasburgo	Estrasburgo	
37496,37497	PER	Profesor Ostwald	Profesor Ostwald	Wilhelm Ostwald	Q12658
37500	LOC	Lcipig	Lcipig	Lcipig	
37509,37510,37511	PER	Profesor Teoaloro Koler	Profesor Teoaloro Koler	Theodore Koehler	Q105424299
37514	LOC	Perna	Berna	Berna	
37523	MISC	Medicina	Medicina	Medicina	
37527,37528,37529,37530,37531	PER	Barón de Estournelles de Conslant	Barón de Estournelles de Conslant	Paul d'Estournelles	Q238731
37535	LOC	Francin	Francin	Francin	
37538,37539,37540,37541,37542	ORG	Tribunal permanente de la lava	Tribunal permanente de la lava	Tribunal permanente de la lava	
37546,37547	PER	M Bcerit	M Bcerit	Bcerit	
37551	ORG	Estado	Estados Unidos	Estados Unidos	
37553	LOC	Bélgica	Bélgica	Bélgica	
37614,37615	MISC	LA EMPRESA	LA EMPRESA	La Empresa	
37693,37694	PER	Carmen Edano	Carmen Edano	Carmen Edano	
37728	LOC	Lucena	Lucena	Lucena	
37734	LOC	Tayabas	Tayabas	Tayabas	
38790	LOC	FILIPINAS	Filipinas	Filipinas	
38795	LOC	MANILA	Manila	Manila	
38815,38816,38817	ORG	E - ARIDA	E - ARIDA	E - Arida	
38830,38831	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
39209	MISC	Contina	Contina	Contina	
39636,39637	PER	ELENA MATINTIMAN	ELENA MATINTIMAN	Elena Matintiman	
39640,39641,39642,39643	PER	Srta , Rosalia Cobarrubias	Rosalía Cabarrubias	Rosalía Cabarrubias	
39660,39661	PER	Rosalía Cabarrubias	Rosalía Cabarrubias	Rosalía Cabarrubias	
39671	MISC	Zamboangueña	Zamboanga	Zamboanga	
39693	LOC	FILIPINAS	Filipinas	Filipinas	
39699	PER	Pepita	Pepita	Pepita	
39923	PER	Pepita	Pepita	Pepita	
40368,40369,40370	PER	Pepita de mialma	Pepita de mialma	Pepita	
40385	PER	Eva	Eva	Eva	Q830183
40412	LOC	Marte	Marte	Marte	
40695	PER	Pepita	Pepita	Pepita	
40724,40725	LOC	Extremo Oriente	Oriente	Oriente	
40728	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
41062	PER	Pepita	Pepita	Pepita	
41229,41230,41231	PER	FLORINDA LIGAYA .	FLORINDA LIGAYA	Florinda Ligaya	
41233	LOC	FILIPINSA	Filipinas	Filipinas	
41586	LOC	Paris	París	París	
41594,41595,41596,41597	PER	Condesa Diane de Benusnco	Condesa Diane de Benusnco	Diane de Beausacq	Q3026250
41727	ORG	Pátria	Patria	Patria	
41751,41752	LOC	Extremo Oriente	Oriente	Oriente	
41755	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
41776	LOC	Rumanía	Rumanía	Rumanía	
41780,41781	PER	Carmen Solva	Carmen Solva	Carmen Solva	
41886,41887	PER	Condesa Diana	Condesa	Condesa	
42034,42035	PER	Condesa Diana	Condesa	Condesa	
42246,42247	PER	Condesa Diana	Condesa	Condesa	
42482	PER	Condesa	Condesa	Condesa	
42485,42486	PER	Pierre Loti	Pierre Loti	Pierre Loti	Q311854
42489,42490	PER	Eugene Monton	Eugene Monton	Eugène Mouton	Q509188
42493,42494	PER	Jean Aicard	Jean Aicard	Jean Aicard	Q726967
42497,42498	PER	Eduarde Hervé	Eduarde Hervé	Édouard Hervé	Q3579886
42501,42502	PER	Alphonsa Penand	Alphonsa Penand	Alphonsa Penand	
42505,42506	PER	Sully Prudhomme	Sully Prudhomme	Sully Prudhomme	Q42247
42508,42509	PER	Laurent Tailhade	Laurent Tailhade	Laurent Tailhade	Q2607219
42511,42512,42513,42514	PER	José Maria de Heredia	José Maria de Heredia	José María Heredia	Q609805
42541,42542	MISC	JAMON PINA	JAMON PINA	Jamon Pina	
42545,42546,42547,42548	ORG	VICENTE E . GENATO	Vicente E. Genato	Vicente E. Genato	
42553	LOC	Escolta	Escolta	Escolta	
42558	LOC	Manila	Manila	Manila	
42567	LOC	FILIPINAS	Filipinas	Filipinas	
42685,42686	LOC	Extremo Oriente	Oriente	Oriente	
42689	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
42710	PER	María	María	María	
42761	PER	Florencio	D. Florencio	Florencio	
42778	PER	Guillermo	Guillermo	Guillermo	
42783	LOC	Manila	Manila	Manila	
42799	PER	María	María	María	
42849	LOC	Rosa	Rosa	Rosa	
42872	PER	María	María	María	
43002,43003	PER	Mr. John	Mr. John	John	
43035,43036,43037	PER	D . Florencio	D. Florencio	Florencio	
43065	PER	Guillermo	Guillermo	Guillermo	
43103,43104	PER	D. Florencio	D. Florencio	Florencio	
43170,43171	PER	Mr. Jobn	Mr. John	John	
43210	LOC	FILIPINAS	Filipinas	Filipinas	
43245	PER	María	María	María	
43318,43319	PER	Mr. John	Mr. John	John	
43352	PER	Mar	Mar	María	
43400,43401	PER	Mr John	Mr. John	John	
43445	LOC	América	América	América	
43472	PER	Guillermo	Guillermo	Guillermo	
43508,43509	PER	Mr. Jofn	Mr. John	John	
43536	PER	Joln	Joln	John	
43614,43615	PER	Mr. Jobn	Mr. John	John	
43661	PER	Guillermo	Guillermo	Guillermo	
43667	LOC	Manila	Manila	Manila	
43677,43678	PER	Mr. John	Mr. John	John	
43680	PER	Maria	María	María	
43698	PER	John	John	John	
43732	LOC	Manila	Manila	Manila	
43755,43756	LOC	LA ESPERANZA	La Esperanza	La Esperanza	
43769,43770	LOC	Extremo Oriente	Oriente	Oriente	
43773	LOC	Cervantes	Cervantes	Cervantes	
43793,43794	PER	Mr. John	Mr. John	John	
43817	PER	María	María	María	
43840	LOC	Manila	Manila	Manila	
43856	LOC	Manila	Manila	Manila	
43903,43904	PER	Mr. John	Mr. John	John	
43953,43954	PER	Mr. John	Mr. John	John	
44001	LOC	América	América	América	
44075	PER	Guillermo	Guillermo	Guillermo	
44280,44281,44282	PER	M . Comby	M . Comby	Comby	
44291,44292,44293,44294	MISC	Archives de Médicine denfantsa	Archives de Médicine denfantsa	Archives de Médicine denfantsa	
44708,44709,44710	LOC	VICENTE E. GENTO	Vicente E. Genato	Vicente E. Genato	
44714,44715	MISC	JAMON PINA	JAMON PINA	Jamon Pina	
44718	LOC	Escolta	Escolta	Escolta	
44723	LOC	Manila	Manila	Manila	
44726	LOC	ribera	ribera	ribera	
44737,44738	LOC	Extremo Oriente	Oriente	Oriente	
44741	LOC	Cervantes	Cervantes	Cervantes	
44756	LOC	Manila	Manila	Manila	
45023	MISC	Leime	Leime	Leime	
45024,45025,45026	MISC	Old Mill Bond	Old Mill Bond	Old Mill Bond	
45028	MISC	Mission	Mission	Mission	
45030,45031	MISC	Old London	Old London	Old London	
45033	MISC	Dutch	Dutch	Dutch	
45056,45057,45058,45059,45060,45061	PER	S JOHN R . EDGARA C.	S JOHN R . EDGARA C.	S John R. Edgara C.	
45063	ORG	Escolta	Escolta	Escolta	
45069	LOC	Maynila	Manila	Manila	
45090,45091,45092	LOC	Restaurant Manila Plaza	Restaurant Manila	Restaurant Manila	
45096	LOC	Cruz	Cruz	Cruz	
45107	MISC	Eig	Eig	Eig	
45109	MISC	Suizos	Suizos	Suizos	
45118	MISC	ORION	ORION	Orion	
45133,45134	PER	Felix olimann	Felix olimann	Felix olimann	
45141	ORG	Escolta	Escolta	Escolta	
45145	LOC	Manila	Manila	Manila	
45157,45158	LOC	Reves rada	Reves rada	Reves rada	
45168,45169	LOC	San Roque	San Roque	San Roque	
45171,45172	LOC	Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
45174	LOC	Manila	Manila	Manila	
45262,45263	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
45273	LOC	FILIPINAS	Filipinas	Filipinas	
45278,45279	PER	ROSARIO LAM	ROSARIO LAM	Rosario Lam	
45288	LOC	Manila	Manila	Manila	
45316	ORG	Escolta	Escolta	Escolta	
45334	LOC	FILIPINAS	Filipinas	Filipinas	
45337	LOC	Manila	Manila	Manila	
45558	ORG	Pátria	Patria	Patria	
45929	PER	Adan	Adan	Adán	Q70899
45931	PER	Eva	Eva	Eva	Q830183
45954,45955	MISC	EATREMO ORIENTE	Oriente	Oriente	
45956	LOC	Cervantes	Cervantes	Cervantes	
45965	LOC	FILIPINAS	Filipinas	Filipinas	
46529	MISC	Patria	Patria	Patria	
46569	MISC	Patria	Patria	Patria	
46670,46671	MISC	JAMON PINA	JAMON PINA	Jamon Pina	
46674,46675,46676	ORG	Vicente E. Genato	Vicente E. Genato	Vicente E. Genato	
46681	LOC	Escolta	Escolta	Escolta	
46687	LOC	Manila	Manila	Manila	
46881	MISC	ERTREMO	ERTREMO	Ertremo	
46882	LOC	ORIENTE	Oriente	Oriente	
46883	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
46908	LOC	Paris	París	París	
46948,46949	LOC	Nueva York	Nueva York	Nueva York	
46954,46955	PER	Ana Morgan	Ana Morgan	Ana Morgan	
46971	ORG	Sindicato	Sindicato	Sindicato	
46981	PER	Alina	Alina	Alina	
47058,47059	PER	Ana Morgan	Ana Morgan	Ana Morgan	
47087,47088,47089,47090	ORG	Estados de la Unión	Estados de la Unión	Estados de la Unión	
47125,47126	PER	Ana Morgan	Ana Morgan	Ana Morgan	
47154	PER	Ana	Ana	Ana	
47173	PER	Morgan	Morgan	Morgan	
47219	LOC	quinta	quinta	quinta	
47237	MISC	AMON	AMON	Amon	
47239	MISC	PINA	Filipinas	Filipinas	
47247,47248,47249	LOC	Vicente E. Genato	Vicente E. Genato	Vicente E. Genato	
47288	ORG	Pátria	Patria	Patria	
47320,47321	ORG	LA ESPERANZA	La Esperanza	La Esperanza	
47344	LOC	Sur	Sur	Sur	
47347,47348	LOC	Estados Unidos	Estados Unidos	Estados Unidos	
47478	LOC	Georgia	Georgia	Georgia	
47511,47512	PER	Charles Stiles	Charles Stiles	Charles Wardell Stiles	Q2960426
47567	PER	Stiles	Stiles	Charles Wardell Stiles	Q2960426
47595	MISC	Sur	Sur	Sur	
47678	PER	Rockefeller	Rockefeller	Rockefeller	
47733	LOC	FILIPINAS	Filipinas	Filipinas	
47750	LOC	ORIENTE	Oriente	Oriente	
47751	LOC	Cervantes	Cervantes	Cervantes	
47762	LOC	FILIPINAS	Filipinas	Filipinas	
47781,47782	PER	Sixto Lopez	Sixto Lopez	Sixto Lopez	
47791	PER	Smith	Smith	Smith	
47815,47816	LOC	Los Baños	Los Baños	Los Baños	
47819	PER	Forbes	Forbes	Forbes	
47838	PER	Smith	Smith	Smith	
47861,47862	PER	Wenceslawa Daman	Wenceslawa Daman	Wenceslawa Daman	
47871,47872,47873	LOC	Barrio de Mangalan	Barrio de Mangalan	Barrio de Mangalan	
47892	ORG	Capiz	Capiz	Capiz	
47993	LOC	Renguet	Benguet	Benguet	
47996,47997	PER	Marcelino Aguna	Marcelino Aguna	Marcelino Aguna	
48007	LOC	Pangasinan	Pangasinan	Pangasinan	
48034	LOC	Manila	Manila	Manila	
48065	PER	Sumulong	Sumulong	Sumulong	
48098,48099	ORG	E Sherifl	E Sherifl	E Sherifl	
48101	LOC	Manila	Manila	Manila	
48114,48115,48116	ORG	El Re. nacimiento	Renacimiento	Renacimiento	
48126,48127	PER	Dean C.	Dean C.	C Dean	Q89596125
48129	PER	Worcerter	Dean C. Worcester	Dean Conant Worcester	Q530805
48143,48144	MISC	E Renaciniento	Renacimiento	Renacimiento	
48147,48148	MISC	Muling Pagsila	Muling Pagsila	Muling Pagsila	
48154	PER	Worcerter	Dean C. Worcester	Dean Conant Worcester	Q530805
48197	PER	Schmidt	Schmidt	Schmidt	
48199	PER	Zeigler	Zeigler	Zeigler	
48212,48213	MISC	Paraiso Terrenal	Paraiso Terrenal	Paraiso Terrenal	
48289	PER	Dios	Dios	Dios	Q190
48531	LOC	PARCON	PARCON	Parcon	
48534	LOC	Pototan	Pototan	Pototan	
48586,48587	PER	Martin Ocampo	Martin Ocampo	Martin Ocampo	Q96676731
48590,48591,48592	PER	Teodoro M. Kalaw	Teodoro M. Kalaw	Teodoro M. Kalaw	Q6141784
48594,48595,48596	PER	Lope K. Santos	Lope K. Santos	Lope K. Santos	Q3543390
48599,48600	PER	Rafael Palma	Rafael Palma	Rafael Palma	Q2789851
48603,48604	PER	Arcadio Arellano	Arcadio Arellano	Arcadio Arellano	Q28109287
48607,48608	PER	Angel José	Angel José	Angel José	
48610	PER	Galo	Galo	Galo	
48612	PER	Lichanco	Lichanco	Lichanco	
48615,48616	PER	Felipe Barretto	Felipe Barretto	Felipe Barretto	
48618,48619,48620,48621	PER	Gregorio M . Canpipit	Gregorio M . Canpipit	Gregorio M. Canpipit	
48639	MISC	Renacimiento	Renacimiento	Renacimiento	
48650,48651,48652	PER	Dean C. Worcerter	Dean C. Worcester	Dean Conant Worcester	Q530805
48675	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
48684	LOC	FILIPINAS	Filipinas	Filipinas	
48715	MISC	CAMAACORO	CAMAACORO	Camaacoro	
48920	MISC	Perla	Perla	Perla	
48921,48922	LOC	de Oriente	Oriente	Oriente	
48930	MISC	Luna	Luna	Luna	
49475	PER	Virgen	Virgen	Virgen María	Q345
49514,49515	PER	ISABEL CORTEZ	Isabel Cortez	Isabel Cortez	
49518	LOC	Zamboanga	Zamboanga	Zamboanga	
49541	PER	Cervantes	Cervantes	Miguel de Cervantes	Q5682
49559	LOC	Manila	Manila	Manila	
49693	MISC	FILIPINAS	Filipinas	Filipinas	
49778	MISC	JOHN	John	John	
49779,49780,49781	LOC	R. EDGAR Y	R. EDGAR Y	R. Edgar y	
49783	LOC	Escolta	Escolta	Escolta	
49789	LOC	Maynila	Manila	Manila	
49798	MISC	Suzos	Suizos	Suizos	
49800	MISC	Franceses	Franceses	Franceses	
