documento,tema,n_frases,media_polaridad_bruta,media_polaridad_normalizada,total_positivo,total_negativo,n_negativas,n_neutras,n_positivas,porcentaje_positivas,porcentaje_negativas,porcentaje_neutras
filipinas,mujer,315,1.3816155988857939,0.025209953291269835,626,130,23.0,115.0,221.0,70.16,7.3,36.51
filipinas,hogar,141,1.3508771929824561,0.01878444569093087,287,56,13.0,56.0,102.0,72.34,9.22,39.72
filipinas,educacion,112,2.854014598540146,0.04499083230411324,442,51,5.0,15.0,117.0,104.46,4.46,13.39
filipinas,patria,90,1.0909090909090908,0.020173555541544014,136,28,8.0,30.0,61.0,67.78,8.89,33.33
filipinas,religion,65,1.3880597014925373,0.021902004247475123,139,46,7.0,19.0,41.0,63.08,10.77,29.23
filipinas,raza,25,0.4827586206896552,0.012560011486252536,19,5,2.0,18.0,9.0,36.0,8.0,72.0
filipinas,colonialismo,12,0.5833333333333334,0.012387541799306484,11,4,1.0,5.0,6.0,50.0,8.33,41.67
filipinas,feminismo,1,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,100.0
