documento,tema,n_frases_tema,n_menciones_keywords,porcentaje_sobre_frases_con_tema
heraldo,mujer,587,693,60.52
heraldo,hogar,170,187,17.53
heraldo,patria,134,146,13.81
heraldo,educacion,116,125,11.96
heraldo,religion,90,96,9.28
heraldo,feminismo,67,72,6.91
heraldo,raza,56,58,5.77
heraldo,colonialismo,41,41,4.23
