revista,topic,n_chunks,porcentaje_en_revista
Filipinas,76,1,0.5813953488372093
Filipinas,77,2,1.1627906976744187
Filipinas,80,1,0.5813953488372093
Filipinas,85,2,1.1627906976744187
Fémina,0,20,5.333333333333334
Fémina,1,10,2.666666666666667
Fémina,2,6,1.6
Fémina,3,7,1.866666666666667
Fémina,4,7,1.866666666666667
Fémina,5,4,1.0666666666666667
Fémina,7,15,4.0
Fémina,8,4,1.0666666666666667
Fémina,9,10,2.666666666666667
Fémina,10,5,1.3333333333333335
Fémina,11,14,3.733333333333334
Fémina,12,5,1.3333333333333335
Fémina,13,2,0.5333333333333333
Fémina,14,11,2.933333333333333
Fémina,16,10,2.666666666666667
Fémina,17,5,1.3333333333333335
Fémina,18,6,1.6
Fémina,19,4,1.0666666666666667
Fémina,20,5,1.3333333333333335
Fémina,21,4,1.0666666666666667
Fémina,22,4,1.0666666666666667
Fémina,23,9,2.4
Fémina,24,6,1.6
Fémina,25,3,0.8
Fémina,26,5,1.3333333333333335
Fémina,27,9,2.4
Fémina,28,9,2.4
Fémina,29,4,1.0666666666666667
Fémina,30,1,0.26666666666666666
Fémina,31,6,1.6
Fémina,32,4,1.0666666666666667
Fémina,33,2,0.5333333333333333
Fémina,34,6,1.6
Fémina,35,3,0.8
Fémina,36,4,1.0666666666666667
Fémina,37,2,0.5333333333333333
Fémina,38,6,1.6
Fémina,41,6,1.6
Fémina,42,2,0.5333333333333333
Fémina,43,5,1.3333333333333335
Fémina,44,2,0.5333333333333333
Fémina,46,2,0.5333333333333333
Fémina,47,8,2.1333333333333333
Fémina,48,3,0.8
Fémina,49,4,1.0666666666666667
Fémina,50,6,1.6
Fémina,51,5,1.3333333333333335
Fémina,52,5,1.3333333333333335
Fémina,53,3,0.8
Fémina,54,2,0.5333333333333333
Fémina,55,6,1.6
Fémina,56,6,1.6
Fémina,57,3,0.8
Fémina,58,3,0.8
Fémina,59,6,1.6
Fémina,60,5,1.3333333333333335
Fémina,61,6,1.6
Fémina,62,4,1.0666666666666667
Fémina,71,4,1.0666666666666667
Fémina,72,2,0.5333333333333333
Fémina,73,1,0.26666666666666666
Fémina,74,2,0.5333333333333333
Fémina,75,5,1.3333333333333335
Fémina,76,3,0.8
Fémina,77,2,0.5333333333333333
Fémina,78,3,0.8
Fémina,79,5,1.3333333333333335
Fémina,80,4,1.0666666666666667
Fémina,81,4,1.0666666666666667
Fémina,82,2,0.5333333333333333
Fémina,83,4,1.0666666666666667
Fémina,84,2,0.5333333333333333
Fémina,85,3,0.8
