documento,sentimiento,n_frases
femina,negativo,473
femina,neutro,622
femina,positivo,920
filipinas,negativo,310
filipinas,neutro,261
filipinas,positivo,306
heraldo,negativo,373
heraldo,neutro,662
heraldo,positivo,391
