documento,tema,n_frases,media_polaridad_bruta,media_polaridad_normalizada,total_positivo,total_negativo,n_negativas,n_neutras,n_positivas,porcentaje_positivas,porcentaje_negativas,porcentaje_neutras
femina,mujer,614,1.1659574468085105,0.02915926220667421,992,170,32.0,244.0,429.0,69.87,5.21,39.74
femina,hogar,276,1.022875816993464,0.02887317538084116,392,79,17.0,121.0,168.0,60.87,6.16,43.84
femina,patria,261,1.0274914089347078,0.024289374195449714,450,151,30.0,85.0,176.0,67.43,11.49,32.57
femina,religion,232,1.4136546184738956,0.029505069663066742,452,100,17.0,78.0,154.0,66.38,7.33,33.62
femina,educacion,180,1.7526881720430108,0.04354322762835516,374,48,8.0,31.0,147.0,81.67,4.44,17.22
femina,raza,129,1.0656934306569343,0.02499774292533367,190,44,15.0,52.0,70.0,54.26,11.63,40.31
femina,feminismo,79,0.9876543209876543,0.020438836974379086,95,15,5.0,35.0,41.0,51.9,6.33,44.3
femina,colonialismo,46,0.22916666666666666,0.00731638711940425,61,50,8.0,20.0,20.0,43.48,17.39,43.48
