sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
femina_000361,femina,361,colonialismo,soberanía,"Cada plan ofrecido por el detentador de nuestra soberanía, no ha sido hasta el presente sino una emboscada para la República.",cada plan ofrecido por el detentador de nuestra soberania no ha sido hasta el presente sino una emboscada para la republica,21,0,0,0,0.0,neutra,,
femina_000515,femina,515,colonialismo,independencia,"Helados y Chocolates sin competencia! Independencia, esq.",helados y chocolates sin competencia independencia esq,7,0,0,0,0.0,neutra,,
femina_000709,femina,709,colonialismo,independencia,Independencia No. 93 Esq. a Cementerio.,independencia no 93 esq a cementerio,6,0,0,0,0.0,neutra,,
femina_001106,femina,1106,colonialismo,independencia,Sucursal en San Pedro de Macorís: Independencia 69.,sucursal en san pedro de macoris independencia 69,8,0,0,0,0.0,neutra,,
femina_002602,femina,2602,colonialismo,independencia,"Bermidez, para ser leido en una velada escolar infantipreparada para conmemorar la maana fecha de nuestra Independencia Política. — A NAS A N cinglería en aquel barrio cercano.",bermidez para ser leido en una velada escolar infantipreparada para conmemorar la maana fecha de nuestra independencia politica a nas a n cingleria en aquel barrio cercano,27,0,0,0,0.0,neutra,,
femina_002938,femina,2938,colonialismo,independencia,"Entre las fiestas que con motivo del 79 aniversario de nuestra Independencia se celebraron en esta ciudad, merece especial mencion el baile del dia 26 de Febrero, en el aristocratico centro 2 de Julio, en el cual se verificó un torneo monárquico-republicano.",entre las fiestas que con motivo del 79 aniversario de nuestra independencia se celebraron en esta ciudad merece especial mencion el baile del dia 26 de febrero en el aristocratico centro 2 de julio en el cual se verifico un torneo monarquico republicano,43,0,0,0,0.0,neutra,,
femina_003113,femina,3113,colonialismo,estados unidos,"Gonzalo ONeill es un buen puertorriqueño que vive hace muchos años en los Estados Unidos, ha creado allí una familia.",gonzalo oneill es un buen puertorriqueno que vive hace muchos anos en los estados unidos ha creado alli una familia,20,0,0,0,0.0,neutra,,
femina_003695,femina,3695,colonialismo,estados unidos,"A principios del siglo pasado fué á los Estados Unidos un rico propietario de Yabucoa, pueblo situado en una de las mas fértiles vegas de la costa Este de Puerto Rico.",a principios del siglo pasado fue a los estados unidos un rico propietario de yabucoa pueblo situado en una de las mas fertiles vegas de la costa este de puerto rico,31,0,0,0,0.0,neutra,,
femina_000539,femina,539,colonialismo,independencia,"Que torne á nuestro plúmbeo cielo el azul purísimo de sus días de Sol, y que vuelvan á sonreir nuestras auroras al beso del magno astro de la Libertad, y entonarán un himno en tu alabanza, todas las naciones que, puestas en el Supremo Hacedor sus esperanzas, aguardan con ansia el fausto día de la llegada de la Independencia de este querido terruño que te guarda en su seno como la Perla mas rica que hemos hallado en el mar de la existencia, el Oasis donde van á beber nuestras almas el precioso candal de las Virtudes que atesoras, en el manantial de Consuelo que nos brinda la calma y la paz en la alta hora de las grandes desdichas y las nobles decisiones.",que torne a nuestro plumbeo cielo el azul purisimo de sus dias de sol y que vuelvan a sonreir nuestras auroras al beso del magno astro de la libertad y entonaran un himno en tu alabanza todas las naciones que puestas en el supremo hacedor sus esperanzas aguardan con ansia el fausto dia de la llegada de la independencia de este querido terruno que te guarda en su seno como la perla mas rica que hemos hallado en el mar de la existencia el oasis donde van a beber nuestras almas el precioso candal de las virtudes que atesoras en el manantial de consuelo que nos brinda la calma y la paz en la alta hora de las grandes desdichas y las nobles decisiones,124,7,0,7,0.0564516129032258,positiva,calma; consuelo; esperanzas; libertad; nobles; paz; virtudes,
femina_002545,femina,2545,colonialismo,intervención,"Hoy que se inicia una nueva era de reconstruccion politica; aligerado el peso de extraña intervencion que nos agobiaba, reflexionemos en este aniversario, sobre la grandiosa epopeya del 44 meditemos sobre la grandeza de aquel esfuerzo heroico realizado por esos gallardos campeones que sa adelantaron á su época en pensamiento y en accion, y ofrendemos sobre su tumba, como homenaje de recordacion y gratitud, la promesa de un noble i patriotico proposito de colocarnos en el concierto de las grandes naciones, fomentando la agricultura como verdadera base de la riqueza de los pueblos; favoreciendo las industrias nacionales, como estímulo al trabajo que vigoriza y salva á las naciones; estrechando en fin, cada vez mas los vinculos de la confraternidad, para que reinando una paz fecunda y bienhechora, se verifique una saludable reparacion politico-social, que irá en provecho y progreso de nuestra vida nacional, y llegaremos a sentirnos orgullosos de tener una patria tal como la soñaron nuestros gloriosos antepasados.",hoy que se inicia una nueva era de reconstruccion politica aligerado el peso de extrana intervencion que nos agobiaba reflexionemos en este aniversario sobre la grandiosa epopeya del 44 meditemos sobre la grandeza de aquel esfuerzo heroico realizado por esos gallardos campeones que sa adelantaron a su epoca en pensamiento y en accion y ofrendemos sobre su tumba como homenaje de recordacion y gratitud la promesa de un noble i patriotico proposito de colocarnos en el concierto de las grandes naciones fomentando la agricultura como verdadera base de la riqueza de los pueblos favoreciendo las industrias nacionales como estimulo al trabajo que vigoriza y salva a las naciones estrechando en fin cada vez mas los vinculos de la confraternidad para que reinando una paz fecunda y bienhechora se verifique una saludable reparacion politico social que ira en provecho y progreso de nuestra vida nacional y llegaremos a sentirnos orgullosos de tener una patria tal como la sonaron nuestros gloriosos antepasados,160,7,1,6,0.0375,positiva,fecunda; heroico; noble; paz; progreso; saludable; vida,peso
