sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
femina_000173,femina,173,hogar,hogar,"No se confunda la libertad que redime y dignifica, con la libertad que corrompe, pues no se basaría en la Ley Natural, despojar al hombre de la supremacía de que disfruta, como mas fuerte, ni es humano que continúe la mujer bajo un yugo tan recio; hay que soltarle un poco las ligaduras, porque, mal puede formar conciencias claras ni hombres libres, quien no pueda accionar con desenvoltura sobre el grave Iremos infiltrando sutilmente en el aniconflicto cuya responsabilidad tienen en mo de nuestras jóvenes madres, nuestra gran parte, los que no supieron guiar pormodeladora doctrina, a fin de que, inculun derrotero mas civilizador la masa de cadas en el hogar las primeras máximas, hombres que derrocaron nuestra hermosa formen la base de una educación mas efiLibertad.",no se confunda la libertad que redime y dignifica con la libertad que corrompe pues no se basaria en la ley natural despojar al hombre de la supremacia de que disfruta como mas fuerte ni es humano que continue la mujer bajo un yugo tan recio hay que soltarle un poco las ligaduras porque mal puede formar conciencias claras ni hombres libres quien no pueda accionar con desenvoltura sobre el grave iremos infiltrando sutilmente en el aniconflicto cuya responsabilidad tienen en mo de nuestras jovenes madres nuestra gran parte los que no supieron guiar pormodeladora doctrina a fin de que inculun derrotero mas civilizador la masa de cadas en el hogar las primeras maximas hombres que derrocaron nuestra hermosa formen la base de una educacion mas efilibertad,127
femina_000210,femina,210,mujer,mujer,"Yo he seguido una sombra, vo he seguido el destino sin ver que va en silencio, como un arroyo manso, disfragando la muerte que está en su remolino con la eterna paralisis de un sereno remanso, Yo he seguido una sombra! La he seguido sin ver que es la silueta errante de un alma de mujer yendo hacia el laberinto de un porvenir que asombra.",yo he seguido una sombra vo he seguido el destino sin ver que va en silencio como un arroyo manso disfragando la muerte que esta en su remolino con la eterna paralisis de un sereno remanso yo he seguido una sombra la he seguido sin ver que es la silueta errante de un alma de mujer yendo hacia el laberinto de un porvenir que asombra,65
femina_000239,femina,239,mujer,mujer,"Pero cuál el amor mas puro y grande, el imperecedero, el que en la vida da consuelo y calma, el amor verdadero? Es aquel noble amor sublime y tierno: amor profundo y santo, Amor de Madre, que en desvelo eterno, enjuga nuestro llanto! KI Aniversario del Listin Diario. ""Fémina regocijada, llevanta su débil voz de mujer para enviar su cordial felicitación al apreciado colega Listín Diario, con motivo de cumplir hoy su 33o aniversario, deseándole otros mil años mas de vida laboriosa y útil.",pero cual el amor mas puro y grande el imperecedero el que en la vida da consuelo y calma el amor verdadero es aquel noble amor sublime y tierno amor profundo y santo amor de madre que en desvelo eterno enjuga nuestro llanto ki aniversario del listin diario femina regocijada llevanta su debil voz de mujer para enviar su cordial felicitacion al apreciado colega listin diario con motivo de cumplir hoy su 33o aniversario deseandole otros mil anos mas de vida laboriosa y util,84
femina_000239,femina,239,mujer,madre,"Pero cuál el amor mas puro y grande, el imperecedero, el que en la vida da consuelo y calma, el amor verdadero? Es aquel noble amor sublime y tierno: amor profundo y santo, Amor de Madre, que en desvelo eterno, enjuga nuestro llanto! KI Aniversario del Listin Diario. ""Fémina regocijada, llevanta su débil voz de mujer para enviar su cordial felicitación al apreciado colega Listín Diario, con motivo de cumplir hoy su 33o aniversario, deseándole otros mil años mas de vida laboriosa y útil.",pero cual el amor mas puro y grande el imperecedero el que en la vida da consuelo y calma el amor verdadero es aquel noble amor sublime y tierno amor profundo y santo amor de madre que en desvelo eterno enjuga nuestro llanto ki aniversario del listin diario femina regocijada llevanta su debil voz de mujer para enviar su cordial felicitacion al apreciado colega listin diario con motivo de cumplir hoy su 33o aniversario deseandole otros mil anos mas de vida laboriosa y util,84
femina_000241,femina,241,raza,raza,"A mi prometida Salve excelsa Raza! Raza que mecció mi cuna, Salve bellísima luna, tu que me has visto nacer.",a mi prometida salve excelsa raza raza que meccio mi cuna salve bellisima luna tu que me has visto nacer,20
femina_000242,femina,242,raza,raza,Salve Raza Hispana.,salve raza hispana,3
femina_000243,femina,243,raza,raza,"Raza de alegría, Razade valor.",raza de alegria razade valor,5
femina_000249,femina,249,raza,raza,"Entonces con tus encantos nos brindas tus mil grandezas y con profusas lindezas me llenas Raza de amor, Por ser tierno este mi canto te ensalaré Raza mía Y tu serás mi alegría y mi delicia mayor.",entonces con tus encantos nos brindas tus mil grandezas y con profusas lindezas me llenas raza de amor por ser tierno este mi canto te ensalare raza mia y tu seras mi alegria y mi delicia mayor,37
femina_000251,femina,251,raza,raza,"Bendeciré tu memoria, Raza de sacra epopeya, Donde la historia su origen no cesa de recordar.",bendecire tu memoria raza de sacra epopeya donde la historia su origen no cesa de recordar,16
femina_000252,femina,252,raza,raza,"Raza de hermosas doncellas, transparentes como el cielo, Que nos llenan de consuelo y de amor el corazón, Raza de excelsas virtudes y de bondad en esencia Sonadoras de inocencia y nostálgica visión.",raza de hermosas doncellas transparentes como el cielo que nos llenan de consuelo y de amor el corazon raza de excelsas virtudes y de bondad en esencia sonadoras de inocencia y nostalgica vision,33
